Generic Name	Trade Name	UNII	Gene	UniProt	Family	Name
Sorafenib	Nexavar	5T62Q3B36J	BRAF	P15056	Kinase	Serine/threonine-protein kinase B-raf
Sorafenib	Nexavar	5T62Q3B36J	PDGFRB	P09619	Kinase	Platelet-derived growth factor receptor beta
Sorafenib	Nexavar	5T62Q3B36J	KIT	P10721	Kinase	Mast/stem cell growth factor receptor Kit
Sorafenib	Nexavar	5T62Q3B36J	FLT4	P35916	Kinase	Vascular endothelial growth factor receptor 3
Sorafenib	Nexavar	5T62Q3B36J	RET	P07949	Kinase	Proto-oncogene tyrosine-protein kinase receptor Ret
sorafenib	Nexavar	5T62Q3B36J	FLT3	P36888	Kinase	Receptor-type tyrosine-protein kinase FLT3
sorafenib	Nexavar	5T62Q3B36J	FLT1	P17948	Kinase	Vascular endothelial growth factor receptor 1
sorafenib	Nexavar	5T62Q3B36J	KDR	P35968	Kinase	Vascular endothelial growth factor receptor 2
sorafenib	Nexavar	5T62Q3B36J	RAF1	P04049	Kinase	RAF proto-oncogene serine/threonine-protein kinase
sorafenib	Nexavar	5T62Q3B36J	BRAF	P15056	Kinase	Serine/threonine-protein kinase B-raf
sorafenib	Nexavar	5T62Q3B36J	PDGFRB	P09619	Kinase	Platelet-derived growth factor receptor beta
sorafenib	Nexavar	5T62Q3B36J	KIT	P10721	Kinase	Mast/stem cell growth factor receptor Kit
sorafenib	Nexavar	5T62Q3B36J	FLT4	P35916	Kinase	Vascular endothelial growth factor receptor 3
sorafenib	Nexavar	5T62Q3B36J	RET	P07949	Kinase	Proto-oncogene tyrosine-protein kinase receptor Ret
Antihemophilic factor/von Willebrand factor complex (human), dried, pasteurized	Humate-P	5T6B772R4Q				
Idarubicin HCl for injection	Idamycin	5VV3MDU5IE	TOP2A	P11388	Enzyme	DNA topoisomerase 2-alpha
idursulfase	Elaprase	5W8JGG2651				
mefloquine HCL	Lariam	5Y9L3636O3				
mefloquine HCL	Lariam	5Y9L3636O3				
nelarabine	Arranon	60158CV180				
Temsirolimus	Torisel	624KN6GM2T	FKBP1A	P62942	Enzyme	Peptidyl-prolyl cis-trans isomerase FKBP1A
paricalcitol	Zemplar	6702D36OG5	VDR	P11473	NR	Vitamin D3 receptor
Pentamidine isethionate	Pentam 300	673LC5J4LQ				
antihemophilic factor (recombinant), porcine sequence	Obizur	6892UQT2GK				
bortezomib	Velcade	69G8BD63PP	PSMA1	P25786	Enzyme	Proteasome subunit alpha type-1
bortezomib	Velcade	69G8BD63PP	PSMB1	P20618	Enzyme	Proteasome subunit beta type-1
bortezomib	Velcade	69G8BD63PP	PSMB5	P28074	Enzyme	Proteasome subunit beta type-5
bortezomib	Velcade	69G8BD63PP	PSMB2	P49721	Enzyme	Proteasome subunit beta type-2
bortezomib	Velcade	69G8BD63PP	PSMB8	P28062	Enzyme	Proteasome subunit beta type-8
bortezomib	Velcade	69G8BD63PP	PSMA1	P25786	Enzyme	Proteasome subunit alpha type-1
bortezomib	Velcade	69G8BD63PP	PSMB1	P20618	Enzyme	Proteasome subunit beta type-1
bortezomib	Velcade	69G8BD63PP	PSMB5	P28074	Enzyme	Proteasome subunit beta type-5
bortezomib	Velcade	69G8BD63PP	PSMB2	P49721	Enzyme	Proteasome subunit beta type-2
bortezomib	Velcade	69G8BD63PP	PSMB8	P28062	Enzyme	Proteasome subunit beta type-8
bortezomib	Velcade	69G8BD63PP	PSMA1	P25786	Enzyme	Proteasome subunit alpha type-1
bortezomib	Velcade	69G8BD63PP	PSMB1	P20618	Enzyme	Proteasome subunit beta type-1
bortezomib	Velcade	69G8BD63PP	PSMB5	P28074	Enzyme	Proteasome subunit beta type-5
bortezomib	Velcade	69G8BD63PP	PSMB2	P49721	Enzyme	Proteasome subunit beta type-2
bortezomib	Velcade	69G8BD63PP	PSMB8	P28062	Enzyme	Proteasome subunit beta type-8
bortezomib	Velcade	69G8BD63PP	PSMA1	P25786	Enzyme	Proteasome subunit alpha type-1
bortezomib	Velcade	69G8BD63PP	PSMB1	P20618	Enzyme	Proteasome subunit beta type-1
bortezomib	Velcade	69G8BD63PP	PSMB5	P28074	Enzyme	Proteasome subunit beta type-5
bortezomib	Velcade	69G8BD63PP	PSMB2	P49721	Enzyme	Proteasome subunit beta type-2
bortezomib	Velcade	69G8BD63PP	PSMB8	P28062	Enzyme	Proteasome subunit beta type-8
bortezomib	Velcade	69G8BD63PP	PSMA1	P25786	Enzyme	Proteasome subunit alpha type-1
bortezomib	Velcade	69G8BD63PP	PSMB1	P20618	Enzyme	Proteasome subunit beta type-1
bortezomib	Velcade	69G8BD63PP	PSMB5	P28074	Enzyme	Proteasome subunit beta type-5
bortezomib	Velcade	69G8BD63PP	PSMB2	P49721	Enzyme	Proteasome subunit beta type-2
bortezomib	Velcade	69G8BD63PP	PSMB8	P28062	Enzyme	Proteasome subunit beta type-8
gabapentin	Gralise	6CW7F3G59X	CACNA2D1	P54289	IC	Voltage-dependent calcium channel subunit alpha-2/delta-1
gabapentin	Gralise	6CW7F3G59X	CACNA2D2	Q9NY47	IC	Voltage-dependent calcium channel subunit alpha-2/delta-2
Zalcitabine	Hivid	6L3XT8CB3I				
ipilimumab	Yervoy	6T8C155666	CTLA4	P16410	Unknown	Cytotoxic T-lymphocyte protein 4
ipilimumab	Yervoy	6T8C155666	CTLA4	P16410	Unknown	Cytotoxic T-lymphocyte protein 4
ipilimumab	Yervoy	6T8C155666	CTLA4	P16410	Unknown	Cytotoxic T-lymphocyte protein 4
Coagulation factor IX	Mononine	6U90Y1795T				
Selegiline HCl	Eldepryl	6W731X367Q	MAOB	P27338	Enzyme	Amine oxidase [flavin-containing] B
Zoledronate	Zometa, Zabel	6XC1PAD3KF				
Technetium Tc99m sulfur colloid injection, lyophilized	Technetium Tc99m Sulfur Colloi	70FD1KFU70				
carfilzomib	Kyprolis	72X6E3J5AR	PSMB5	P28074	Enzyme	Proteasome subunit beta type-5
gabapentin enacarbil	Horizant	75OCL1SPBQ	CACNA2D1	P54289	IC	Voltage-dependent calcium channel subunit alpha-2/delta-1
gabapentin enacarbil	Horizant	75OCL1SPBQ	CACNA2D2	Q9NY47	IC	Voltage-dependent calcium channel subunit alpha-2/delta-2
Octreotide	Sandostatin Lar	75R0U2568I	SSTR5	P35346	GPCR	Somatostatin receptor type 5
Octreotide	Sandostatin Lar	75R0U2568I	SSTR3	P32745	GPCR	Somatostatin receptor type 3
Octreotide	Sandostatin Lar	75R0U2568I	SSTR2	P30874	GPCR	Somatostatin receptor type 2
Octreotide	Sandostatin Lar	75R0U2568I	SSTR1	P30872	GPCR	Somatostatin receptor type 1
Octreotide	Sandostatin Lar	75R0U2568I	SSTR4	P31391	GPCR	Somatostatin receptor type 4
Octreotide	Sandostatin Lar	75R0U2568I	SSTR5	P35346	GPCR	Somatostatin receptor type 5
Octreotide	Sandostatin Lar	75R0U2568I	SSTR3	P32745	GPCR	Somatostatin receptor type 3
Octreotide	Sandostatin Lar	75R0U2568I	SSTR2	P30874	GPCR	Somatostatin receptor type 2
Octreotide	Sandostatin Lar	75R0U2568I	SSTR1	P30872	GPCR	Somatostatin receptor type 1
Octreotide	Sandostatin Lar	75R0U2568I	SSTR4	P31391	GPCR	Somatostatin receptor type 4
Octreotide	Sandostatin Lar	75R0U2568I	SSTR5	P35346	GPCR	Somatostatin receptor type 5
Octreotide	Sandostatin Lar	75R0U2568I	SSTR3	P32745	GPCR	Somatostatin receptor type 3
Octreotide	Sandostatin Lar	75R0U2568I	SSTR2	P30874	GPCR	Somatostatin receptor type 2
Octreotide	Sandostatin Lar	75R0U2568I	SSTR1	P30872	GPCR	Somatostatin receptor type 1
Octreotide	Sandostatin Lar	75R0U2568I	SSTR4	P31391	GPCR	Somatostatin receptor type 4
clofarabine	Clolar	762RDY0Y2H	POLA1	P09884	Enzyme	DNA polymerase alpha catalytic subunit
clofarabine	Clolar	762RDY0Y2H	RRM2	P31350	Enzyme	Ribonucleoside-diphosphate reductase subunit M2
clofarabine	Clolar	762RDY0Y2H	RRM1	P23921	Enzyme	Ribonucleoside-diphosphate reductase large subunit
decitabine	Dacogen	776B62CQ27	DNMT1	P26358	Enzyme	DNA (cytosine-5)-methyltransferase 1
decitabine	Dacogen	776B62CQ27	DNMT3A	Q9Y6K1	Epigenetic	DNA (cytosine-5)-methyltransferase 3A
Respiratory syncytial virus immune globulin (Human)	Respigam	78I1W13C3D				
Pegaspargase	Oncaspar; Asparlas	7D96IR0PPM				
Pegaspargase	Oncaspar; Asparlas	7D96IR0PPM				
Bleomycin sulfate	Blenoxane	7DP3NTV15T				
sodium oxybate	Xyrem	7G33012534	GABBR2	O75899	GPCR	Gamma-aminobutyric acid type B receptor subunit 2
sodium oxybate	Xyrem	7G33012534	GABBR1	Q9UBS5	GPCR	Gamma-aminobutyric acid type B receptor subunit 1
sodium oxybate	Xyrem	7G33012534	GABBR2	O75899	GPCR	Gamma-aminobutyric acid type B receptor subunit 2
sodium oxybate	Xyrem	7G33012534	GABBR1	Q9UBS5	GPCR	Gamma-aminobutyric acid type B receptor subunit 1
sodium oxybate	Xyrem	7G33012534	GABBR2	O75899	GPCR	Gamma-aminobutyric acid type B receptor subunit 2
sodium oxybate	Xyrem	7G33012534	GABBR1	Q9UBS5	GPCR	Gamma-aminobutyric acid type B receptor subunit 1
Mecasermin	Increlex	7GR9I2683O	IGF1R	P08069	Kinase	Insulin-like growth factor 1 receptor
Dronabinol	Marinol	7J8897W37S	CNR1	P21554	GPCR	Cannabinoid receptor 1
Riluzole	Rilutek	7LJ087RS6F	SCN5A	Q14524	IC	Sodium channel protein type 5 subunit alpha
riluzole oral suspension	Tiglutik	7LJ087RS6F				
riluzole oral suspension	Tiglutik	7LJ087RS6F				
teduglutide [rDNA origin]	Gattex	7M19191IKG				
teduglutide [rDNA origin]	Gattex	7M19191IKG				
antihemophilic factor (recombinant), Fc fusion protein	Eloctate	7PCM518YLR				
dexamethasone intravitreal implant	Ozurdex	7S5I7G3JQL				
Sterile talc powder	Sclerosol Intrapleural Aerosol	7SEV7J4R1U				
Sterile talc	Steritalc	7SEV7J4R1U				
Sterile talc	Steritalc	7SEV7J4R1U				
dinutuximab	Unituxin	7SQY4ZUD30				
Satumomab pendetide	Oncoscint Cr/Ov	7V9926378A				
Fosphenytoin	Cerebyx	7VLR55452Z	SCN5A	Q14524	IC	Sodium channel protein type 5 subunit alpha
Brentuximab vedotin	Adcetris	7XL5ISS668	TUBB4A	P04350	Unknown	Tubulin beta-4A chain
Brentuximab vedotin	Adcetris	7XL5ISS668	TUBB	P07437	Unknown	Tubulin beta chain
Brentuximab vedotin	Adcetris	7XL5ISS668	TUBB4B	P68371	Unknown	Tubulin beta-4B chain
Brentuximab vedotin	Adcetris	7XL5ISS668	TUBB3	Q13509	Unknown	Tubulin beta-3 chain
Brentuximab vedotin	Adcetris	7XL5ISS668	TUBB2A	Q13885	Unknown	Tubulin beta-2A chain
Brentuximab vedotin	Adcetris	7XL5ISS668	TUBB8	Q3ZCM7	Unknown	Tubulin beta-8 chain
Brentuximab vedotin	Adcetris	7XL5ISS668	TUBB6	Q9BUF5	Unknown	Tubulin beta-6 chain
Brentuximab vedotin	Adcetris	7XL5ISS668	TUBB2B	Q9BVA1	Unknown	Tubulin beta-2B chain
Brentuximab vedotin	Adcetris	7XL5ISS668	TUBB1	Q9H4B7	Unknown	Tubulin beta-1 chain
Brentuximab vedotin	Adcetris	7XL5ISS668	TNFRSF8	P28908	Unknown	Tumor necrosis factor receptor superfamily member 8
brentuximab vedotin	Adcetris	7XL5ISS668	TUBB4A	P04350	Unknown	Tubulin beta-4A chain
brentuximab vedotin	Adcetris	7XL5ISS668	TUBB	P07437	Unknown	Tubulin beta chain
brentuximab vedotin	Adcetris	7XL5ISS668	TUBB4B	P68371	Unknown	Tubulin beta-4B chain
brentuximab vedotin	Adcetris	7XL5ISS668	TUBB3	Q13509	Unknown	Tubulin beta-3 chain
brentuximab vedotin	Adcetris	7XL5ISS668	TUBB2A	Q13885	Unknown	Tubulin beta-2A chain
brentuximab vedotin	Adcetris	7XL5ISS668	TUBB8	Q3ZCM7	Unknown	Tubulin beta-8 chain
brentuximab vedotin	Adcetris	7XL5ISS668	TUBB6	Q9BUF5	Unknown	Tubulin beta-6 chain
brentuximab vedotin	Adcetris	7XL5ISS668	TUBB2B	Q9BVA1	Unknown	Tubulin beta-2B chain
brentuximab vedotin	Adcetris	7XL5ISS668	TUBB1	Q9H4B7	Unknown	Tubulin beta-1 chain
brentuximab vedotin	Adcetris	7XL5ISS668	TNFRSF8	P28908	Unknown	Tumor necrosis factor receptor superfamily member 8
brentuximab vedotin	Adcetris	7XL5ISS668	TUBB4A	P04350	Unknown	Tubulin beta-4A chain
brentuximab vedotin	Adcetris	7XL5ISS668	TUBB	P07437	Unknown	Tubulin beta chain
brentuximab vedotin	Adcetris	7XL5ISS668	TUBB4B	P68371	Unknown	Tubulin beta-4B chain
brentuximab vedotin	Adcetris	7XL5ISS668	TUBB3	Q13509	Unknown	Tubulin beta-3 chain
brentuximab vedotin	Adcetris	7XL5ISS668	TUBB2A	Q13885	Unknown	Tubulin beta-2A chain
brentuximab vedotin	Adcetris	7XL5ISS668	TUBB8	Q3ZCM7	Unknown	Tubulin beta-8 chain
brentuximab vedotin	Adcetris	7XL5ISS668	TUBB6	Q9BUF5	Unknown	Tubulin beta-6 chain
brentuximab vedotin	Adcetris	7XL5ISS668	TUBB2B	Q9BVA1	Unknown	Tubulin beta-2B chain
brentuximab vedotin	Adcetris	7XL5ISS668	TUBB1	Q9H4B7	Unknown	Tubulin beta-1 chain
brentuximab vedotin	Adcetris	7XL5ISS668	TNFRSF8	P28908	Unknown	Tumor necrosis factor receptor superfamily member 8
brentuximab vedotin	Adcetris	7XL5ISS668	TUBB4A	P04350	Unknown	Tubulin beta-4A chain
brentuximab vedotin	Adcetris	7XL5ISS668	TUBB	P07437	Unknown	Tubulin beta chain
brentuximab vedotin	Adcetris	7XL5ISS668	TUBB4B	P68371	Unknown	Tubulin beta-4B chain
brentuximab vedotin	Adcetris	7XL5ISS668	TUBB3	Q13509	Unknown	Tubulin beta-3 chain
brentuximab vedotin	Adcetris	7XL5ISS668	TUBB2A	Q13885	Unknown	Tubulin beta-2A chain
brentuximab vedotin	Adcetris	7XL5ISS668	TUBB8	Q3ZCM7	Unknown	Tubulin beta-8 chain
brentuximab vedotin	Adcetris	7XL5ISS668	TUBB6	Q9BUF5	Unknown	Tubulin beta-6 chain
brentuximab vedotin	Adcetris	7XL5ISS668	TUBB2B	Q9BVA1	Unknown	Tubulin beta-2B chain
brentuximab vedotin	Adcetris	7XL5ISS668	TUBB1	Q9H4B7	Unknown	Tubulin beta-1 chain
brentuximab vedotin	Adcetris	7XL5ISS668	TNFRSF8	P28908	Unknown	Tumor necrosis factor receptor superfamily member 8
brentuximab vedotin	Adcetris	7XL5ISS668	TUBB4A	P04350	Unknown	Tubulin beta-4A chain
brentuximab vedotin	Adcetris	7XL5ISS668	TUBB	P07437	Unknown	Tubulin beta chain
brentuximab vedotin	Adcetris	7XL5ISS668	TUBB4B	P68371	Unknown	Tubulin beta-4B chain
brentuximab vedotin	Adcetris	7XL5ISS668	TUBB3	Q13509	Unknown	Tubulin beta-3 chain
brentuximab vedotin	Adcetris	7XL5ISS668	TUBB2A	Q13885	Unknown	Tubulin beta-2A chain
brentuximab vedotin	Adcetris	7XL5ISS668	TUBB8	Q3ZCM7	Unknown	Tubulin beta-8 chain
brentuximab vedotin	Adcetris	7XL5ISS668	TUBB6	Q9BUF5	Unknown	Tubulin beta-6 chain
brentuximab vedotin	Adcetris	7XL5ISS668	TUBB2B	Q9BVA1	Unknown	Tubulin beta-2B chain
brentuximab vedotin	Adcetris	7XL5ISS668	TUBB1	Q9H4B7	Unknown	Tubulin beta-1 chain
brentuximab vedotin	Adcetris	7XL5ISS668	TNFRSF8	P28908	Unknown	Tumor necrosis factor receptor superfamily member 8
brentuximab vedotin	Adcetris	7XL5ISS668	TUBB4A	P04350	Unknown	Tubulin beta-4A chain
brentuximab vedotin	Adcetris	7XL5ISS668	TUBB	P07437	Unknown	Tubulin beta chain
brentuximab vedotin	Adcetris	7XL5ISS668	TUBB4B	P68371	Unknown	Tubulin beta-4B chain
brentuximab vedotin	Adcetris	7XL5ISS668	TUBB3	Q13509	Unknown	Tubulin beta-3 chain
brentuximab vedotin	Adcetris	7XL5ISS668	TUBB2A	Q13885	Unknown	Tubulin beta-2A chain
brentuximab vedotin	Adcetris	7XL5ISS668	TUBB8	Q3ZCM7	Unknown	Tubulin beta-8 chain
brentuximab vedotin	Adcetris	7XL5ISS668	TUBB6	Q9BUF5	Unknown	Tubulin beta-6 chain
brentuximab vedotin	Adcetris	7XL5ISS668	TUBB2B	Q9BVA1	Unknown	Tubulin beta-2B chain
brentuximab vedotin	Adcetris	7XL5ISS668	TUBB1	Q9H4B7	Unknown	Tubulin beta-1 chain
brentuximab vedotin	Adcetris	7XL5ISS668	TNFRSF8	P28908	Unknown	Tumor necrosis factor receptor superfamily member 8
brentuximab vedotin	Adcetris	7XL5ISS668	TUBB4A	P04350	Unknown	Tubulin beta-4A chain
brentuximab vedotin	Adcetris	7XL5ISS668	TUBB	P07437	Unknown	Tubulin beta chain
brentuximab vedotin	Adcetris	7XL5ISS668	TUBB4B	P68371	Unknown	Tubulin beta-4B chain
brentuximab vedotin	Adcetris	7XL5ISS668	TUBB3	Q13509	Unknown	Tubulin beta-3 chain
brentuximab vedotin	Adcetris	7XL5ISS668	TUBB2A	Q13885	Unknown	Tubulin beta-2A chain
brentuximab vedotin	Adcetris	7XL5ISS668	TUBB8	Q3ZCM7	Unknown	Tubulin beta-8 chain
brentuximab vedotin	Adcetris	7XL5ISS668	TUBB6	Q9BUF5	Unknown	Tubulin beta-6 chain
brentuximab vedotin	Adcetris	7XL5ISS668	TUBB2B	Q9BVA1	Unknown	Tubulin beta-2B chain
brentuximab vedotin	Adcetris	7XL5ISS668	TUBB1	Q9H4B7	Unknown	Tubulin beta-1 chain
brentuximab vedotin	Adcetris	7XL5ISS668	TNFRSF8	P28908	Unknown	Tumor necrosis factor receptor superfamily member 8
Amphotericin B lipid complex	Abelcet	7XU7A7DROE				
Liposomal amphotericin B	Ambisome	7XU7A7DROE				
Liposomal amphotericin B	Ambisome	7XU7A7DROE				
mebendazole	Vermox 500 Mg Chewable Tablets	81G6I5V05I				
Doxorubicin liposome	Doxil	82F2G7BL4E				
doxorubicin HCL liposome injection	Doxil	82F2G7BL4E	TOP2A	P11388	Enzyme	DNA topoisomerase 2-alpha
lomitapide	Juxtapid	82KUB0583F	MTTP	P55157	Unknown	Microsomal triglyceride transfer protein large subunit
aripiprazole	Abilify	82VFR53I78	HTR2A	P28223	GPCR	5-hydroxytryptamine receptor 2A
aripiprazole	Abilify	82VFR53I78	HTR1A	P08908	GPCR	5-hydroxytryptamine receptor 1A
aripiprazole	Abilify	82VFR53I78	DRD2	P14416	GPCR	D(2) dopamine receptor
rosuvastatin	Crestor	83MVU38M7Q	HMGCR	P04035	Enzyme	3-hydroxy-3-methylglutaryl-coenzyme A reductase
imatinib mesylate	Gleevec	8A1O1M485B	ABL1	P00519	Kinase	Tyrosine-protein kinase ABL1
imatinib mesylate	Gleevec	8A1O1M485B	PDGFRB	P09619	Kinase	Platelet-derived growth factor receptor beta
imatinib mesylate	Gleevec	8A1O1M485B	KIT	P10721	Kinase	Mast/stem cell growth factor receptor Kit
imatinib mesylate	Gleevec	8A1O1M485B	ABL1	P00519	Kinase	Tyrosine-protein kinase ABL1
imatinib mesylate	Gleevec	8A1O1M485B	PDGFRB	P09619	Kinase	Platelet-derived growth factor receptor beta
imatinib mesylate	Gleevec	8A1O1M485B	KIT	P10721	Kinase	Mast/stem cell growth factor receptor Kit
imatinib mesylate	Gleevec	8A1O1M485B	ABL1	P00519	Kinase	Tyrosine-protein kinase ABL1
imatinib mesylate	Gleevec	8A1O1M485B	PDGFRB	P09619	Kinase	Platelet-derived growth factor receptor beta
imatinib mesylate	Gleevec	8A1O1M485B	KIT	P10721	Kinase	Mast/stem cell growth factor receptor Kit
Imatinib mesylate	Gleevec	8A1O1M485B	ABL1	P00519	Kinase	Tyrosine-protein kinase ABL1
Imatinib mesylate	Gleevec	8A1O1M485B	PDGFRB	P09619	Kinase	Platelet-derived growth factor receptor beta
Imatinib mesylate	Gleevec	8A1O1M485B	KIT	P10721	Kinase	Mast/stem cell growth factor receptor Kit
Imatinib mesylate	Gleevec	8A1O1M485B	ABL1	P00519	Kinase	Tyrosine-protein kinase ABL1
Imatinib mesylate	Gleevec	8A1O1M485B	PDGFRB	P09619	Kinase	Platelet-derived growth factor receptor beta
Imatinib mesylate	Gleevec	8A1O1M485B	KIT	P10721	Kinase	Mast/stem cell growth factor receptor Kit
Imatinib mesylate	Gleevec	8A1O1M485B	ABL1	P00519	Kinase	Tyrosine-protein kinase ABL1
Imatinib mesylate	Gleevec	8A1O1M485B	PDGFRB	P09619	Kinase	Platelet-derived growth factor receptor beta
Imatinib mesylate	Gleevec	8A1O1M485B	KIT	P10721	Kinase	Mast/stem cell growth factor receptor Kit
imatinib	Gleevec	8A1O1M485B	ABL1	P00519	Kinase	Tyrosine-protein kinase ABL1
imatinib	Gleevec	8A1O1M485B	PDGFRB	P09619	Kinase	Platelet-derived growth factor receptor beta
imatinib	Gleevec	8A1O1M485B	KIT	P10721	Kinase	Mast/stem cell growth factor receptor Kit
imatinib	Gleevec	8A1O1M485B	ABL1	P00519	Kinase	Tyrosine-protein kinase ABL1
imatinib	Gleevec	8A1O1M485B	PDGFRB	P09619	Kinase	Platelet-derived growth factor receptor beta
imatinib	Gleevec	8A1O1M485B	KIT	P10721	Kinase	Mast/stem cell growth factor receptor Kit
Imatinib	Gleevec	8A1O1M485B	ABL1	P00519	Kinase	Tyrosine-protein kinase ABL1
Imatinib	Gleevec	8A1O1M485B	PDGFRB	P09619	Kinase	Platelet-derived growth factor receptor beta
Imatinib	Gleevec	8A1O1M485B	KIT	P10721	Kinase	Mast/stem cell growth factor receptor Kit
Sacrosidase	Sucraid	8A7F670F2Y				
Nafarelin acetate	Synarel Nasal Solution	8ENZ0QJW4H	GNRHR	P30968	GPCR	Gonadotropin-releasing hormone receptor
Gemtuzumab ozogamicin	Mylotarg	8GZG754X6M	CD33	P20138	Unknown	Myeloid cell surface antigen CD33
Gemtuzumab ozogamicin	Mylotarg	8GZG754X6M	CD33	P20138	Unknown	Myeloid cell surface antigen CD33
amifampridine phosphate	Firdapse	8HF8FIN815	KCNQ3	O43525	IC	Potassium voltage-gated channel subfamily KQT member 3
amifampridine phosphate	Firdapse	8HF8FIN815	KCNQ2	O43526	IC	Potassium voltage-gated channel subfamily KQT member 2
amifampridine phosphate	Firdapse	8HF8FIN815	KCNH1	O95259	IC	Potassium voltage-gated channel subfamily H member 1
amifampridine phosphate	Firdapse	8HF8FIN815	KCNA2	P16389	IC	Potassium voltage-gated channel subfamily A member 2
amifampridine phosphate	Firdapse	8HF8FIN815	KCNA6	P17658	IC	Potassium voltage-gated channel subfamily A member 6
amifampridine phosphate	Firdapse	8HF8FIN815	KCNA3	P22001	IC	Potassium voltage-gated channel subfamily A member 3
amifampridine phosphate	Firdapse	8HF8FIN815	KCNA4	P22459	IC	Potassium voltage-gated channel subfamily A member 4
amifampridine phosphate	Firdapse	8HF8FIN815	KCNA5	P22460	IC	Potassium voltage-gated channel subfamily A member 5
amifampridine phosphate	Firdapse	8HF8FIN815	KCNC1	P48547	IC	Potassium voltage-gated channel subfamily C member 1
amifampridine phosphate	Firdapse	8HF8FIN815	KCNQ1	P51787	IC	Potassium voltage-gated channel subfamily KQT member 1
amifampridine phosphate	Firdapse	8HF8FIN815	KCNQ4	P56696	IC	Potassium voltage-gated channel subfamily KQT member 4
amifampridine phosphate	Firdapse	8HF8FIN815	KCNC4	Q03721	IC	Potassium voltage-gated channel subfamily C member 4
amifampridine phosphate	Firdapse	8HF8FIN815	KCNA1	Q09470	IC	Potassium voltage-gated channel subfamily A member 1
amifampridine phosphate	Firdapse	8HF8FIN815	KCNH2	Q12809	IC	Potassium voltage-gated channel subfamily H member 2
amifampridine phosphate	Firdapse	8HF8FIN815	KCNC3	Q14003	IC	Potassium voltage-gated channel subfamily C member 3
amifampridine phosphate	Firdapse	8HF8FIN815	KCNB1	Q14721	IC	Potassium voltage-gated channel subfamily B member 1
amifampridine phosphate	Firdapse	8HF8FIN815	KCNA10	Q16322	IC	Potassium voltage-gated channel subfamily A member 10
amifampridine phosphate	Firdapse	8HF8FIN815	KCNV1	Q6PIU1	IC	Potassium voltage-gated channel subfamily V member 1
amifampridine phosphate	Firdapse	8HF8FIN815	KCNH5	Q8NCM2	IC	Potassium voltage-gated channel subfamily H member 5
amifampridine phosphate	Firdapse	8HF8FIN815	KCNG3	Q8TAE7	IC	Potassium voltage-gated channel subfamily G member 3
amifampridine phosphate	Firdapse	8HF8FIN815	KCNG4	Q8TDN1	IC	Potassium voltage-gated channel subfamily G member 4
amifampridine phosphate	Firdapse	8HF8FIN815	KCNV2	Q8TDN2	IC	Potassium voltage-gated channel subfamily V member 2
amifampridine phosphate	Firdapse	8HF8FIN815	KCNB2	Q92953	IC	Potassium voltage-gated channel subfamily B member 2
amifampridine phosphate	Firdapse	8HF8FIN815	KCNS1	Q96KK3	IC	Potassium voltage-gated channel subfamily S member 1
amifampridine phosphate	Firdapse	8HF8FIN815	KCNH8	Q96L42	IC	Potassium voltage-gated channel subfamily H member 8
amifampridine phosphate	Firdapse	8HF8FIN815	KCNC2	Q96PR1	IC	Potassium voltage-gated channel subfamily C member 2
amifampridine phosphate	Firdapse	8HF8FIN815	KCNA7	Q96RP8	IC	Potassium voltage-gated channel subfamily A member 7
amifampridine phosphate	Firdapse	8HF8FIN815	KCNS3	Q9BQ31	IC	Potassium voltage-gated channel subfamily S member 3
amifampridine phosphate	Firdapse	8HF8FIN815	KCNH6	Q9H252	IC	Potassium voltage-gated channel subfamily H member 6
amifampridine phosphate	Firdapse	8HF8FIN815	KCNF1	Q9H3M0	IC	Potassium voltage-gated channel subfamily F member 1
amifampridine phosphate	Firdapse	8HF8FIN815	KCNQ5	Q9NR82	IC	Potassium voltage-gated channel subfamily KQT member 5
amifampridine phosphate	Firdapse	8HF8FIN815	KCNH7	Q9NS40	IC	Potassium voltage-gated channel subfamily H member 7
amifampridine phosphate	Firdapse	8HF8FIN815	KCND1	Q9NSA2	IC	Potassium voltage-gated channel subfamily D member 1
amifampridine phosphate	Firdapse	8HF8FIN815	KCND2	Q9NZV8	IC	Potassium voltage-gated channel subfamily D member 2
amifampridine phosphate	Firdapse	8HF8FIN815	KCNG1	Q9UIX4	IC	Potassium voltage-gated channel subfamily G member 1
amifampridine phosphate	Firdapse	8HF8FIN815	KCNG2	Q9UJ96	IC	Potassium voltage-gated channel subfamily G member 2
amifampridine phosphate	Firdapse	8HF8FIN815	KCND3	Q9UK17	IC	Potassium voltage-gated channel subfamily D member 3
amifampridine phosphate	Firdapse	8HF8FIN815	KCNH3	Q9ULD8	IC	Potassium voltage-gated channel subfamily H member 3
amifampridine phosphate	Firdapse	8HF8FIN815	KCNS2	Q9ULS6	IC	Potassium voltage-gated channel subfamily S member 2
amifampridine phosphate	Firdapse	8HF8FIN815	KCNH4	Q9UQ05	IC	Potassium voltage-gated channel subfamily H member 4
technetium Tc 99m tilmanocept	Lymphoseek	8IHI69PQTC				
Thiotepa	Tepadina	905Z5W3GKH				
triptorelin pamoate	Triptodur	9081Y98W2V				
mepolizumab	Nucala	90Z2UF0E52	IL5	P05113	Unknown	Interleukin-5
mepolizumab	Nucala	90Z2UF0E52	IL5	P05113	Unknown	Interleukin-5
Pentosan polysulfate sodium	Elmiron	914032762Y				
