Sort	Applicant / License #	Proprietary Name	Proper Name	BLA STN#	Product #	Total Drug Content (Concentration)	Approval Date	Dosage Form/Route/Presentation	Discontinued Date
110	BIO PRODUCTS LABORATORY / 1811	GAMMAPLEX	IMMUNE GLOBULIN INTRAVENOUS (HUMAN) 10%	125329 / 0	5	5 GM/50 ML ( 10 GM/100 ML )	02/06/2017	SOLUTION / INTRAVENOUS / SINGLE-USE BOTTLE	
111	BIO PRODUCTS LABORATORY / 1811	GAMMAPLEX	IMMUNE GLOBULIN INTRAVENOUS (HUMAN) 10%	125329 / 0	6	10 GM/100 ML ( 10 GM/100 ML )	02/06/2017	SOLUTION / INTRAVENOUS / SINGLE-USE BOTTLE	
112	BIO PRODUCTS LABORATORY / 1811	GAMMAPLEX	IMMUNE GLOBULIN INTRAVENOUS (HUMAN) 10%	125329 / 0	7	20 GM/200 ML ( 10 GM/100 ML )	02/06/2017	SOLUTION / INTRAVENOUS / SINGLE-USE BOTTLE	
113	BIO PRODUCTS LABORATORY / 1811	GAMMAPLEX	IMMUNE GLOBULIN INTRAVENOUS (HUMAN) 5%	125329 / 0	2	5 GM/100 ML ( 5 GM/100 ML )	09/17/2009	SOLUTION / INTRAVENOUS / SINGLE-USE BOTTLE	
114	BIO PRODUCTS LABORATORY / 1811	GAMMAPLEX	IMMUNE GLOBULIN INTRAVENOUS (HUMAN) 5%	125329 / 0	3	10 GM/200 ML ( 5 GM/100 ML )	09/17/2009	SOLUTION / INTRAVENOUS / SINGLE-USE BOTTLE	
115	BIO PRODUCTS LABORATORY / 1811	GAMMAPLEX	IMMUNE GLOBULIN INTRAVENOUS (HUMAN) 5%	125329 / 0	4	20 GM/400 ML ( 5 GM/100 ML )	09/17/2009	SOLUTION / INTRAVENOUS / SINGLE-USE BOTTLE	
116	BIOVERATIV THERAPEUTICS INC / 2078	ALPROLIX	"COAGULATION FACTOR IX (RECOMBINANT), FC FUSION PROTEIN"	125444 / 0	1	250 IU ( 250 IU/VIAL )	02/18/2016	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
117	BIOVERATIV THERAPEUTICS INC / 2078	ALPROLIX	"COAGULATION FACTOR IX (RECOMBINANT), FC FUSION PROTEIN"	125444 / 0	2	500 IU ( 500 IU/VIAL )	03/28/2014	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
118	BIOVERATIV THERAPEUTICS INC / 2078	ALPROLIX	"COAGULATION FACTOR IX (RECOMBINANT), FC FUSION PROTEIN"	125444 / 0	3	1000 IU ( 1000 IU/VIAL )	03/28/2014	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
119	BIOVERATIV THERAPEUTICS INC / 2078	ALPROLIX	"COAGULATION FACTOR IX (RECOMBINANT), FC FUSION PROTEIN"	125444 / 0	4	2000 IU ( 2000 IU/VIAL )	03/28/2014	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
120	BIOVERATIV THERAPEUTICS INC / 2078	ALPROLIX	"COAGULATION FACTOR IX (RECOMBINANT), FC FUSION PROTEIN"	125444 / 0	5	3000 IU ( 3000 IU/VIAL )	03/28/2014	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
121	BIOVERATIV THERAPEUTICS INC / 2078	ALPROLIX	"COAGULATION FACTOR IX (RECOMBINANT), FC FUSION PROTEIN"	125444 / 286	6	4000 IU ( 4000 IU/VIAL )	07/14/2016	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
122	BIOVERATIV THERAPEUTICS INC / 2078	ELOCTATE	"ANTIHEMOPHILIC FACTOR (RECOMBINANT), FC FUSION PROTEIN"	125487 / 0	1	250 IU ( 250 IU/VIAL )	06/06/2014	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
123	BIOVERATIV THERAPEUTICS INC / 2078	ELOCTATE	"ANTIHEMOPHILIC FACTOR (RECOMBINANT), FC FUSION PROTEIN"	125487 / 0	2	500 IU ( 500 IU/VIAL )	06/06/2014	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
124	BIOVERATIV THERAPEUTICS INC / 2078	ELOCTATE	"ANTIHEMOPHILIC FACTOR (RECOMBINANT), FC FUSION PROTEIN"	125487 / 0	3	750 IU ( 750 IU/VIAL )	06/06/2014	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
125	BIOVERATIV THERAPEUTICS INC / 2078	ELOCTATE	"ANTIHEMOPHILIC FACTOR (RECOMBINANT), FC FUSION PROTEIN"	125487 / 0	4	1000 IU ( 1000 IU/VIAL )	06/06/2014	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
126	BIOVERATIV THERAPEUTICS INC / 2078	ELOCTATE	"ANTIHEMOPHILIC FACTOR (RECOMBINANT), FC FUSION PROTEIN"	125487 / 0	5	1500 IU ( 1500 IU/VIAL )	06/06/2014	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
127	BIOVERATIV THERAPEUTICS INC / 2078	ELOCTATE	"ANTIHEMOPHILIC FACTOR (RECOMBINANT), FC FUSION PROTEIN"	125487 / 0	6	2000 IU ( 2000 IU/VIAL )	06/06/2014	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
128	BIOVERATIV THERAPEUTICS INC / 2078	ELOCTATE	"ANTIHEMOPHILIC FACTOR (RECOMBINANT), FC FUSION PROTEIN"	125487 / 0	7	3000 IU ( 3000 IU/VIAL )	06/06/2014	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
129	BIOVERATIV THERAPEUTICS INC / 2078	ELOCTATE	"ANTIHEMOPHILIC FACTOR (RECOMBINANT), FC FUSION PROTEIN"	125487 / 450	8	4000 IU ( 4000 IU/VIAL )	01/27/2017	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
130	BIOVERATIV THERAPEUTICS INC / 2078	ELOCTATE	"ANTIHEMOPHILIC FACTOR (RECOMBINANT), FC FUSION PROTEIN"	125487 / 450	9	5000 IU ( 5000 IU/VIAL )	01/27/2017	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
131	BIOVERATIV THERAPEUTICS INC / 2078	ELOCTATE	"ANTIHEMOPHILIC FACTOR (RECOMBINANT), FC FUSION PROTEIN"	125487 / 450	10	6000 IU ( 6000 IU/VIAL )	01/27/2017	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
132	BTG INTERNATIONAL INC / 1861	CROFAB	CROTALIDAE POLYVALENT IMMUNE FAB (OVINE)	103788 / 0	1	1 GM ( 1 GM/VIAL )	10/02/2000	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
133	BTG INTERNATIONAL INC / 1861	DIGIFAB	DIGOXIN IMMUNE FAB (OVINE)	103910 / 0	1	40 MG ( 40 MG/VIAL )	08/31/2001	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
134	CALIFORNIA DEPARTMENT OF PUBLIC HEALTH / 1797	BABYBIG	BOTULISM IMMUNE GLOBULIN (HUMAN) INTRAVENOUS	125034 / 0	1	100 MG ( 100 MG/VIAL )	10/23/2003	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
135	CSL BEHRING AG / 1766	ALBURX	ALBUMIN (HUMAN) 25%	102366 / 0	3	12.5 GM/50 ML ( 25 GM/100 ML )	07/23/1976	SOLUTION / INTRAVENOUS / SINGLE-DOSE VIAL	
136	CSL BEHRING AG / 1766	ALBURX	ALBUMIN (HUMAN) 25%	102366 / 0	4	25 GM/100 ML ( 25 GM/100 ML )	07/23/1976	SOLUTION / INTRAVENOUS / SINGLE-DOSE VIAL	
137	CSL BEHRING AG / 1766	ALBURX	ALBUMIN (HUMAN) 5%	102366 / 0	1	12.5 GM/250 ML ( 5 GM/100 ML )	07/23/1976	SOLUTION / INTRAVENOUS / SINGLE-DOSE VIAL	
138	CSL BEHRING AG / 1766	ALBURX	ALBUMIN (HUMAN) 5%	102366 / 0	2	25 GM/500 ML ( 5 GM/100 ML )	07/23/1976	SOLUTION / INTRAVENOUS / SINGLE-DOSE VIAL	
139	CSL BEHRING AG / 1766	CARIMUNE NF	IMMUNE GLOBULIN INTRAVENOUS (HUMAN)	102367 / 0	1	6 GM ( 6 GM/VIAL )	06/07/1984	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
140	CSL BEHRING AG / 1766	CARIMUNE NF	IMMUNE GLOBULIN INTRAVENOUS (HUMAN)	102367 / 0	2	12 GM ( 12 GM/VIAL )	06/07/1984	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
141	CSL BEHRING AG / 1766	CYTOGAM	CYTOMEGALOVIRUS IMMUNE GLOBULIN INTRAVENOUS (HUMAN)	103189 / 0	1	2500 MG/50 ML ( 50 MG/ML )	04/17/1990	SOLUTION / INTRAVENOUS / SINGLE-DOSE VIAL	
142	CSL BEHRING AG / 1766	HIZENTRA	IMMUNE GLOBULIN SUBCUTANEOUS (HUMAN) 20% LIQUID	125350 / 0	1	1000 MG/5 ML ( 200 MG/ML )	03/04/2010	SOLUTION / SUBCUTANEOUS / SINGLE-DOSE VIAL	
143	CSL BEHRING AG / 1766	HIZENTRA	IMMUNE GLOBULIN SUBCUTANEOUS (HUMAN) 20% LIQUID	125350 / 0	2	2000 MG/10 ML ( 200 MG/ML )	03/04/2010	SOLUTION / SUBCUTANEOUS / SINGLE-DOSE VIAL	
144	CSL BEHRING AG / 1766	HIZENTRA	IMMUNE GLOBULIN SUBCUTANEOUS (HUMAN) 20% LIQUID	125350 / 0	3	4000 MG/20 ML ( 200 MG/ML )	03/04/2010	SOLUTION / SUBCUTANEOUS / SINGLE-DOSE VIAL	
145	CSL BEHRING AG / 1766	HIZENTRA	IMMUNE GLOBULIN SUBCUTANEOUS (HUMAN) 20% LIQUID	125350 / 0	4	10000 MG/50 ML ( 200 MG/ML )	03/04/2010	SOLUTION / SUBCUTANEOUS / SINGLE-DOSE VIAL	
146	CSL BEHRING AG / 1766	PRIVIGEN	"IMMUNE GLOBULIN INTRAVENOUS (HUMAN), 10% LIQUID"	125201 / 0	1	2.5 GM/25 ML ( 10 GM/100 ML )	10/02/2009	SOLUTION / INTRAVENOUS / SINGLE-DOSE VIAL	
147	CSL BEHRING AG / 1766	PRIVIGEN	"IMMUNE GLOBULIN INTRAVENOUS (HUMAN), 10% LIQUID"	125201 / 0	2	5 GM/50 ML ( 10 GM/100 ML )	07/26/2007	SOLUTION / INTRAVENOUS / SINGLE-DOSE VIAL	
148	CSL BEHRING AG / 1766	PRIVIGEN	"IMMUNE GLOBULIN INTRAVENOUS (HUMAN), 10% LIQUID"	125201 / 0	3	10 GM/100 ML ( 10 GM/100 ML )	07/26/2007	SOLUTION / INTRAVENOUS / SINGLE-DOSE VIAL	
149	CSL BEHRING AG / 1766	PRIVIGEN	"IMMUNE GLOBULIN INTRAVENOUS (HUMAN), 10% LIQUID"	125201 / 0	4	20 GM/200 ML ( 10 GM/100 ML )	07/26/2007	SOLUTION / INTRAVENOUS / SINGLE-DOSE VIAL	
150	CSL BEHRING AG / 1766	PRIVIGEN	"IMMUNE GLOBULIN INTRAVENOUS (HUMAN), 10% LIQUID"	125201 / 0	5	40 GM/400 ML ( 10 GM/100 MG )	02/07/2013	SOLUTION / INTRAVENOUS / SINGLE-DOSE VIAL	
151	CSL BEHRING AG / 1766	RHOPHYLAC	RHO(D) IMMUNE GLOBULIN INTRAVENOUS (HUMAN)	125070 / 0	1	300 MCG/2 ML ( 150 MCG/ML )	02/12/2004	"SOLUTION / INTRAVENOUS, INTRAMUSCULAR / PREFILLED SYRINGE"	
152	CSL BEHRING GMBH / 1765	BERINERT	C1 ESTERASE INHIBITOR (HUMAN)	125287 / 0	1	500 UNITS ( 500 UNITS/VIAL )	10/09/2009	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
153	CSL BEHRING GMBH / 1765	CORIFACT	FACTOR XIII CONCENTRATE (HUMAN)	125385 / 0	1	1000-1600 U ( 1000-1600 U/VIAL )	02/17/2011	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
154	CSL BEHRING GMBH / 1765	HAEGARDA	C1 ESTERASE INHIBITOR SUBCUTANEOUS (HUMAN)	125606 / 0	1	2000 IU ( 2000 IU/VIAL )	06/22/2017	POWDER  / SUBCUTANEOUS / SINGLE-DOSE VIAL	
155	CSL BEHRING GMBH / 1765	HAEGARDA	C1 ESTERASE INHIBITOR SUBCUTANEOUS (HUMAN)	125606 / 0	2	3000 IU ( 3000 IU/VIAL )	06/22/2017	POWDER  / SUBCUTANEOUS / SINGLE-DOSE VIAL	
156	CSL BEHRING GMBH / 1765	HUMATE-P	ANTIHEMOPHILIC FACTOR/VON WILLEBRAND FACTOR COMPLEX (HUMAN)	103960 / 0	1	600 IU & 250 IU ( 600 IU & 250 IU/VIAL )	04/11/2000	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
157	CSL BEHRING GMBH / 1765	HUMATE-P	ANTIHEMOPHILIC FACTOR/VON WILLEBRAND FACTOR COMPLEX (HUMAN)	103960 / 0	2	1200 IU & 500 IU ( 1200 IU & 500 IU/VIAL )	04/11/2000	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
158	CSL BEHRING GMBH / 1765	HUMATE-P	ANTIHEMOPHILIC FACTOR/VON WILLEBRAND FACTOR COMPLEX (HUMAN)	103960 / 0	3	2400 IU& 1000 IU ( 2400 IU & 1000 IU/VIAL )	04/11/2000	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
159	CSL BEHRING GMBH / 1765	KCENTRA	PROTHROMBIN COMPLEX CONCENTRATE (HUMAN)	125421 / 0	1	500 IU ( 500 IU/VIAL )	04/29/2013	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
160	CSL BEHRING GMBH / 1765	KCENTRA	PROTHROMBIN COMPLEX CONCENTRATE (HUMAN)	125421 / 0	2	1000 IU ( 1000 IU/VIAL )	04/29/2013	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
161	CSL BEHRING GMBH / 1765	RIASTAP	FIBRINOGEN CONCENTRATE (HUMAN)	125317 / 0	1	900-1300 MG ( 900-1300 MG/VIAL )	01/16/2009	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
162	CSL BEHRING LENGNAU AG / 2009	AFSTYLA	"ANTIHEMOPHILIC FACTOR (RECOMBINANT), SINGLE CHAIN"	125591 / 0	1	250 IU ( 250 IU/VIAL )	05/25/2016	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
163	CSL BEHRING LENGNAU AG / 2009	AFSTYLA	"ANTIHEMOPHILIC FACTOR (RECOMBINANT), SINGLE CHAIN"	125591 / 0	2	500 IU ( 500 IU/VIAL )	05/25/2016	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
164	CSL BEHRING LENGNAU AG / 2009	AFSTYLA	"ANTIHEMOPHILIC FACTOR (RECOMBINANT), SINGLE CHAIN"	125591 / 0	3	1000 IU ( 1000 IU/VIAL )	05/25/2016	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
165	CSL BEHRING LENGNAU AG / 2009	AFSTYLA	"ANTIHEMOPHILIC FACTOR (RECOMBINANT), SINGLE CHAIN"	125591 / 0	4	2000 IU ( 2000 IU/VIAL )	05/25/2016	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
166	CSL BEHRING LENGNAU AG / 2009	AFSTYLA	"ANTIHEMOPHILIC FACTOR (RECOMBINANT), SINGLE CHAIN"	125591 / 0	5	3000 IU ( 3000 IU/VIAL )	05/25/2016	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
167	CSL BEHRING LENGNAU AG / 2009	AFSTYLA	"ANTIHEMOPHILIC FACTOR (RECOMBINANT), SINGLE CHAIN"	125591 / 47	6	1500 IU ( 1500 IU/VIAL )	03/31/2017	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
168	CSL BEHRING LENGNAU AG / 2009	AFSTYLA	"ANTIHEMOPHILIC FACTOR (RECOMBINANT), SINGLE CHAIN"	125591 / 47	7	2500 IU ( 2500 IU/VIAL )	03/31/2017	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
169	CSL BEHRING LENGNAU AG / 2009	IDELVION	"COAGULATION FACTOR IX (RECOMBINANT), ALBUMIN FUSION PROTEIN"	125582 / 0	1	250 IU ( 250 IU/VIAL )	03/04/2016	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
170	CSL BEHRING LENGNAU AG / 2009	IDELVION	"COAGULATION FACTOR IX (RECOMBINANT), ALBUMIN FUSION PROTEIN"	125582 / 0	2	500 IU ( 500 IU/VIAL )	03/04/2016	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
171	CSL BEHRING LENGNAU AG / 2009	IDELVION	"COAGULATION FACTOR IX (RECOMBINANT), ALBUMIN FUSION PROTEIN"	125582 / 0	3	1000 IU ( 1000 IU/VIAL )	03/04/2016	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
172	CSL BEHRING LENGNAU AG / 2009	IDELVION	"COAGULATION FACTOR IX (RECOMBINANT), ALBUMIN FUSION PROTEIN"	125582 / 0	4	2000 IU ( 2000 IU/VIAL )	03/04/2016	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
173	CSL BEHRING LENGNAU AG / 2009	IDELVION	"COAGULATION FACTOR IX (RECOMBINANT), ALBUMIN FUSION PROTEIN"	125582 / 116	5	3500 IU ( 3500 IU/VIAL )	05/30/2018	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
174	CSL BEHRING LLC / 1767	ALBUMINAR	ALBUMIN (HUMAN) 20%	103955 / 0	4	10 GM/50 ML ( 20 GM/100 ML )	03/17/2000	SOLUTION / INTRAVENOUS / SINGLE-DOSE VIAL	
175	CSL BEHRING LLC / 1767	ALBUMINAR	ALBUMIN (HUMAN) 20%	103955 / 0	5	20 GM/100 ML ( 20 GM/100 ML )	03/17/2000	SOLUTION / INTRAVENOUS / SINGLE-DOSE VIAL	
176	CSL BEHRING LLC / 1767	ALBUMINAR	ALBUMIN (HUMAN) 25%	103955 / 0	6	5 GM/20 ML ( 25 GM/100 ML )	03/17/2000	SOLUTION / INTRAVENOUS / SINGLE-DOSE VIAL	
177	CSL BEHRING LLC / 1767	ALBUMINAR	ALBUMIN (HUMAN) 25%	103955 / 0	7	12.5 GM/50 ML ( 25 GM/100 ML )	03/17/2000	SOLUTION / INTRAVENOUS / SINGLE-DOSE VIAL	
178	CSL BEHRING LLC / 1767	ALBUMINAR	ALBUMIN (HUMAN) 25%	103955 / 0	8	25 GM/100 ML ( 25 GM/100 ML )	03/17/2000	SOLUTION / INTRAVENOUS / SINGLE-DOSE VIAL	
179	CSL BEHRING LLC / 1767	ALBUMINAR	ALBUMIN (HUMAN) 5%	103955 / 0	1	2.5 GM/50 ML ( 5 GM/100 ML )	07/17/2000	SOLUTION / INTRAVENOUS / SINGLE-DOSE VIAL	
180	CSL BEHRING LLC / 1767	ALBUMINAR	ALBUMIN (HUMAN) 5%	103955 / 0	2	12.5 GM/250 ML ( 5 GM/100 ML )	07/17/2000	SOLUTION / INTRAVENOUS / SINGLE-DOSE VIAL	
181	CSL BEHRING LLC / 1767	ALBUMINAR	ALBUMIN (HUMAN) 5%	103955 / 0	3	25 GM/500 ML ( 5 GM/100 ML )	07/17/2000	SOLUTION / INTRAVENOUS / SINGLE-DOSE VIAL	
182	CSL BEHRING LLC / 1767	MONONINE	COAGULATION FACTOR IX (HUMAN)	103957 / 0	1	500 IU ( 500 IU/VIAL )	03/17/2000	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
183	CSL BEHRING LLC / 1767	MONONINE	COAGULATION FACTOR IX (HUMAN)	103957 / 0	2	1000 IU ( 1000 IU/VIAL )	03/17/2000	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
184	CSL BEHRING LLC / 1767	ZEMAIRA	ALPHA-1 PROTEINASE INHIBITOR (HUMAN)	125078 / 0	1	1000 MG ( 1000 MG/VIAL )	07/08/2003	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
185	CSL BEHRING LLC / 1767	ZEMAIRA	ALPHA-1 PROTEINASE INHIBITOR (HUMAN)	125078 / 818	2	4000 MG ( 4000 MG/VIAL )	04/16/2019	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
186	CSL BEHRING LLC / 1767	ZEMAIRA	ALPHA-1 PROTEINASE INHIBITOR (HUMAN)	125078 / 818	3	5000 MG ( 5000 MG/VIAL )	04/16/2019	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
187	DENDREON PHARMACEUTICALS LLC / 1749	PROVENGE	SIPULEUCEL-T	125197 / 0	1	50 M CD54+ ACTIVATED CELLS/250 ML ( 50 M CD54+ ACTIVATED CELLS/250 ML )	04/29/2010	SOLUTION / INTRAVENOUS / PLASTIC CONTAINER	
188	DYNAVAX TECHNOLOGIES CORP / 1883	HEPLISAV-B	"HEPATITIS B VACCINE (RECOMBINANT), ADJUVANTED"	125428 / 0	1	20 MCG HBSAG/0.5 ML ( 20 MCG HBSAG/0.5 ML )	11/09/2017	SOLUTION / INTRAMUSCULAR   / SINGLE-DOSE VIAL & PREFILLED SYRINGE	
189	EMERGENT BIODEFENSE OPERATIONS LANSING LLC / 1755	BIOTHRAX	ANTHRAX VACCINE ADSORBED	103821 / 0	1	5 ML ( 0.5 ML/DOSE )	11/12/1998	"SUSPENSION / INTRAMUSCULAR, SUBCUTANEOUS / MULTI- DOSE VIAL"	
190	EMERGENT BIOSOLUTIONS CANADA INC / 2084	ANTHRASIL	ANTHRAX IMMUNE GLOBULIN (HUMAN) INTRAVENOUS	125562 / 0	1	³60 UNITS/VIAL ( ³60 UNITS/VIAL )	03/24/2015	SOLUTION / INTRAVENOUS / SINGLE-DOSE VIAL	
191	EMERGENT BIOSOLUTIONS CANADA INC / 2084	BAT	"BOTULISM ANTITOXIN HEPTAVALENT (A, B, C, D, E, F, G) (EQUINE)"	125462 / 0	1	VARIABLE BETWEEN 10-22 ML ( VARIABLE BETWEEN 10-22 ML )	03/22/2013	SOLUTION / INTRAVENOUS / SINGLE-DOSE VIAL	
192	EMERGENT BIOSOLUTIONS CANADA INC / 2084	CNJ-016	VACCINIA IMMUNE GLOBULIN (HUMAN) INTRAVENOUS	125109 / 0	1	">50,000 U/15 ML ( >50,000 U/15 ML )"	05/02/2005	SOLUTION / INTRAVENOUS / SINGLE-DOSE VIAL	
193	"EMERGENT PRODUCT DEVELOPMENT GAITHERSBURG INC / 2089"	ACAM2000	"SMALLPOX (VACCINIA) VACCINE, LIVE"	125158 / 0	1	1 Ð 5 X 10-8TH PFU ( 1 Ð 5 X 10-8TH PFU/ML )	08/31/2007	POWDER  / PERCUTANEOUS / MULTI-DOSE VIAL	
194	ETHICON INC / 1879	EVARREST	FIBRIN SEALANT PATCH	125392 / 0	1		12/05/2012		
195	GENZYME CORP / 1596	THYMOGLOBULIN	ANTI-THYMOCYTE GLOBULIN (RABBIT)	103869 / 0	1	25 MG ( 25 MG/VIAL )	05/19/1999	POWDER  / INTRAVENOUS / SINGLE-DOSE VIAL	
196	GLAXOSMITHKLINE BIOLOGICALS / 1617	BEXSERO	MENINGOCOCCAL GROUP B VACCINE	125546 / 0	1	0.5 ML/SYRINGE ( 0.5 ML/SYRINGE )	01/23/2015	SUSPENSION / INTRAMUSCULAR   / PREFILLED SYRINGE	
197	GLAXOSMITHKLINE BIOLOGICALS / 1617	BOOSTRIX	"TETANUS TOXOID, REDUCED DIPHTHERIA TOXOID AND ACELLULAR PERTUSSIS VACCINE, ADSORBED"	125106 / 0	1	0.5 ML ( 0.5 ML/DOSE )	05/03/2005	SUSPENSION / INTRAMUSCULAR   / SINGLE-DOSE VIAL & PREFILLED SYRINGE	
198	GLAXOSMITHKLINE BIOLOGICALS / 1617	CERVARIX	"HUMAN PAPILLOMAVIRUS BIVALENT (TYPES 16 AND 18) VACCINE, RECOMBINANT"	125259 / 0	1	0.5 ML ( 0.5 ML/DOSE )	10/16/2009	SUSPENSION / INTRAMUSCULAR   / PREFILLED SYRINGE	
199	GLAXOSMITHKLINE BIOLOGICALS / 1617	ENGERIX-B	HEPATITIS B VACCINE (RECOMBIANT)	103239 / 0	2	20 MCG/ML ( 20 MCG/ML )	08/28/1989	SUSPENSION / INTRAMUSCULAR   / SINGLE-DOSE VIAL & PREFILLED SYRINGE	
200	GLAXOSMITHKLINE BIOLOGICALS / 1617	ENGERIX-B	HEPATITIS B VACCINE (RECOMBINANT)	103239 / 0	1	10 MCG/0.5 ML ( 20 MCG/ML )	08/28/1989	SUSPENSION / INTRAMUSCULAR   / SINGLE-DOSE VIAL & PREFILLED SYRINGE	
201	GLAXOSMITHKLINE BIOLOGICALS / 1617	FLUARIX QUADRIVALENT	INFLUENZA VIRUS VACCINE	125127 / 513	2	60 MCG HA/0.5 ML ( 60 MCG HA/0.5 ML )	12/14/2012	SUSPENSION / INTRAMUSCULAR   / PREFILLED SYRINGE	
202	GLAXOSMITHKLINE BIOLOGICALS / 1617	HAVRIX	HEPATITIS A VACCINE INACTIVATED	103475 / 0	1	720 ELISA U/0.5 ML ( 1440 ELISA U/ML )	02/22/1995	SUSPENSION / INTRAMUSCULAR   / SINGLE-DOSE VIAL & PREFILLED SYRINGE	
203	GLAXOSMITHKLINE BIOLOGICALS / 1617	HAVRIX	HEPATITIS A VACCINE INACTIVATED	103475 / 0	2	1440 ELISA U/ML ( 1440 ELISA U/ML )	02/22/1995	SUSPENSION / INTRAMUSCULAR   / SINGLE-DOSE VIAL & PREFILLED SYRINGE	
204	GLAXOSMITHKLINE BIOLOGICALS / 1617	HIBERIX	HAEMOPHILUS B CONJUGATE VACCINE (TETANUS TOXOID CONJUGATE)	125347 / 0	1	25 MCG ( 25 MCG/VIAL )	08/19/2009	POWDER  / INTRAMUSCULAR   / SINGLE-DOSE VIAL	
205	GLAXOSMITHKLINE BIOLOGICALS / 1617	INFANRIX	DIPHTHERIA & TETANUS TOXOIDS & ACELLULAR PERTUSSIS VACCINE	103647 / 0	1	"25LF/10LF/25MCG/0.5 ML (25LF/10LF/25MCG/0.5 ML )"	01/29/1997	SUSPENSION / INTRAMUSCULAR   / SINGLE-DOSE VIAL & PREFILLED SYRINGE	
206	GLAXOSMITHKLINE BIOLOGICALS / 1617	KINRIX	DIPHTHERIA & TETANUS TOXOIDS & ACELLULAR PERTUSSIS ADSORBED & INACTIVATED POLIO VIRUS VACCINE	125260 / 0	1	0.5 ML ( 0.5 ML/DOSE )	06/24/2008	SUSPENSION / INTRAMUSCULAR   / SINGLE-DOSE VIAL & PREFILLED SYRINGE	
207	GLAXOSMITHKLINE BIOLOGICALS / 1617	MENVEO	"MENINGOCOCCAL (GROUPS A, C, Y, AND W 135) OLIGOSACCHARIDE DIPHTHERIA CRM197 CONJUGATE VACCINE"	125300 / 0	1	0.5 ML ( 0.5 ML/DOSE )	02/19/2010	POWDER  / INTRAMUSCULAR   / SINGLE-DOSE VIAL	
208	GLAXOSMITHKLINE BIOLOGICALS / 1617	PEDIARIX	DTAP & HEPATITIS B (RECOMBINANT) & INACTIVATED POLIOVIRUS VACCINE	103907 / 0	1	0.5 ML/VIAL ( 0.5 ML/VIAL )	12/13/2002	SUSPENSION / INTRAMUSCULAR   / PREFILLED SYRINGE	
209	GLAXOSMITHKLINE BIOLOGICALS / 1617	RABAVERT	RABIES VACCINE	103334 / 0	1	>2.5 U ( >2.5 U/VIAL )	10/20/1997	POWDER  / INTRAMUSCULAR   / SINGLE-DOSE VIAL	
