Year	Trademark	Generic Name	UNII	Date [text]	App Type	NDA/BLA No.	Sponsor	Ref		
1982	Chymodiactin	Chymopapain	1UK146T40N	11-10-82	NDA	18-663	Smith	OB NME Appendix 1950-1985		
1982	Halcion	Triazolam	1HM943223R	11-15-82	NDA	17-892	Upjohn	OB NME Appendix 1950-1985		
1982	Cefobid	Cefoperazone Sodium	5FQG9774WD	11-18-82	NDA	50-551	Pfizer	OB NME Appendix 1950-1985		
1982	Vaderm	Alclometasone Dipropionate	S56PQL4N1V	12-14-82	NDA	18-702	Schering	OB NME Appendix 1950-1985		
1982	Spectazole	Econazole Nitrate	H438WYN10E	12-23-82	NDA	18-751	Orthor	OB NME Appendix 1950-1985		
1982	Calcibind	Cellulose Sodium Phosphate	E6S1NJ4Y5Q	12-28-82	NDA	18-757	Mission Pharmacal	OB NME Appendix 1950-1985		
1982	Hylorel	Guanadrel Sulfate	MT147RMO91	12-29-82	NDA	18-104	Upjohn	OB NME Appendix 1950-1985		
1982	Biltricide	Praziquantel	6490C9U457	12-29-82	NDA	18-714	Miles	OB NME Appendix 1950-1985		
1982	Loprox	Ciclopirox olamine	50MD4SB4AP	12-30-82	NDA	18-748	Hoechst Roussel	OB NME Appendix 1950-1985		
1983	Trosyd	Tioconazole	S57Y5X1117	02-18-83	NDA	18-682	Pfizer	OB NME Appendix 1950-1985		
1983	Bumex	Bumetanide	0Y2S3XUQ5H	02-28-83	NDA	18-225	Hoffmann-La Roche	OB NME Appendix 1950-1985		
1983	Netromycin	Netilmicin Sulfate	S741ZJS97U	02-28-83	NDA	50-544	Schering	OB NME Appendix 1950-1985		
1983	Lithostat	Acetohydroxamic Acid	4RZ82L2GY5	05-31-83	NDA	18-749	Mission Research	OB NME Appendix 1950-1985		
1983	Zantac	Ranitidine Hydrochloride	BK76465IHM	06-09-83	NDA	18-703	Glaxo	OB NME Appendix 1950-1985		
1983	Lozol	Indapamide	F089I0511L	07-06-83	NDA	18-538	USW	OB NME Appendix 1950-1985		
1983	Chenix	Chenodiol	0GEI24LG0J	07-28-83	NDA	18-513	Rowell	OB NME Appendix 1950-1985		
1983	CefizOx	Ceftizoxime Sodium	26337D5X88	09-15-83	NDA	50-560	"Smith, Kline, French"	OB NME Appendix 1950-1985		
1983	Zinacef	Cefuroxime Sodium	R8A7M9MY61	10-19-83	NDA	50-558	Glaxo	OB NME Appendix 1950-1985		
1983	Vepesid	Etoposide	6PLQ3CP4P3	11-10-83	NDA	18-768	Bristol	OB NME Appendix 1950-1985		
1983	Sandimmune	Cyclosporine	83HN0GTJ6D	11-14-83	NDA	50-573	Sandoz	OB NME Appendix 1950-1985		
1983	Tracrium	Atracurium Besylate	40AX66P76P	11-23-83	NDA	18-831	Burroughs Wellcome	OB NME Appendix 1950-1985		
1983	Trasicor	Oxprenolol Hydrochloride	F4XSI7SNIU	12-28-83	NDA	18-166	Ciba Geigy	OB NME Appendix 1950-1985		
1983	Chymex	Bentiromide	239IF5W61J	12-29-83	NDA	18-366	Adria	OB NME Appendix 1950-1985		
1984	Nicorette	Nicotine Resin Complex	6M3C89ZY6R	01-13-84	NDA	18-612	Dow	OB NME Appendix 1950-1985		
1984	Normodyne	Labetalol Hydrochloride	1GEV3BAW9J	08-01-84	NDA	18-686	Schering	OB NME Appendix 1950-1985		
1984	Norcuron	Vercuronium Bromide	FA2DM6879K	04-30-84	NDA	18-776	Organon	OB NME Appendix 1950-1985		
1984	Micronase	Glyburide	SX6K58TVWC	05-01-84	NDA	17-498	Upjohn	OB NME Appendix 1950-1985		
1984	Sufenta	Sufentanil Citrate	S9ZFX8403R	05-04-84	NDA	19-050	Janssen	OB NME Appendix 1950-1985		
1984	Glucotrol	Glipizide	X7WDT95N5C	05-08-84	NDA	17-783	Pfizer	OB NME Appendix 1950-1985		
1984	Monocid	Cefonicid Sodium	F74MFL78A1	05-23-84	NDA	50-579	"Smith, Kline, French"	OB NME Appendix 1950-1985		
1984	Precef	Ceforanide	8M1YF8951V	05-24-84	NDA	50-554	Bristol	OB NME Appendix 1950-1985		
1984	Inocor	Amrinone	JUT23379TN	07-31-84	NDA	18-700	Sterling	OB NME Appendix 1950-1985		
1984	Orap	Pimozide	1HIZ4DL86F	07-31-84	NDA	17-473	McNeil	OB NME Appendix 1950-1985		
1984	Augmentin	Potassium Clavulanate	Q42OMW3AT8	08-06-84	NDA	50-564	Beecham	OB NME Appendix 1950-1985		
1984	Trental	Pentoxifylline	SD6QCT3TSU	08-30-84	NDA	18-631	Hoechst Roussel	OB NME Appendix 1950-1985		
1984	Pentam 	Pentamidine Isethionate	V2P3K60DA2	10-16-84	NDA	19-264	Lyphomed	OB NME Appendix 1950-1985		
1984	Tonocard	Tocainide Hydrochloride	2K7I38CKN5	11-09-84	NDA	18-257	"Merck, Sharp, Dohme"	OB NME Appendix 1950-1985		
1984	Trexan	Naltrexone Hydrochloride	Z6375YW9SF	11-20-84	NDA	18-932	Dupont	OB NME Appendix 1950-1985		
1984	Coactin	Amdinocillin	V10579P3QZ	12-21-84	NDA	50-565	Hoffmann-La Roche	OB NME Appendix 1950-1985		
1984	Rocephin	Ceftriaxone Sodium	R598PB148Q	12-21-84	NDA	50-585	Hoffmann-La Roche	OB NME Appendix 1950-1985		
1984	Sectral	Acebutolol Hydrochloride	B025Y34C54	12-28-84	NDA	18-917	Ives	OB NME Appendix 1950-1985		
1984	Tornalate	Bitolterol Mesylate	4E53T3611U	12-28-84	NDA	18-770	Sterling	OB NME Appendix 1950-1985		
1984	Nephroflow	"Iodohippurate Sodium, I-123"	4NW20GFQ7H	12-28-84	NDA	18-289	Medi-Physics	OB NME Appendix 1950-1985		
1984	Merital	Nomifensine Maleate	76S8CUH5MR	12-31-84	NDA	18-224	Hoechst Roussel	OB NME Appendix 1950-1985		
1984	Modrastane	TriloStane	L0FPV48Q5R	12-31-84	NDA	18-719	Sterling Winthrop	OB NME Appendix 1950-1985		
1985	Fortaz	Ceftazidime	9M416Z9QNR	07-19-85	NDA	50-578	Glaxo	OB NME Appendix 1950-1993		
1985	Lupron	Leuprolide Acetate	37JNS02E7V	04-09-85	NDA	19-010	Tap	OB NME Appendix 1950-1993		
1985	Seldane	Terfenadine	7BA5G9Y06Q	05-08-85	NDA	18-949	Dow	OB NME Appendix 1950-1993		
1985	Ridaura	Auranofin	3H04W2810V	05-24-85	NDA	18-689	Smith Kline & French	OB NME Appendix 1950-1993		
1985	Marinol	Dronabinol	7J8897W37S	05-31-85	NDA	18-651	Unimed	OB NME Appendix 1950-1993		
1985	Hexabrix	Ioxaglate Meglumine	75JR975T11	07-26-85	NDA	18-905	Mallinckrodt	OB NME Appendix 1950-1993		
1985	Hexabrix	Ioxaglate Sodium	HQ43CN02U9	07-26-85	NDA	18-905	Mallinckrodt	OB NME Appendix 1950-1993		
1985	Betoptic	Betaxolol Hydrochloride	6X97D2XT0O	08-30-85	NDA	19-270	Alcon	OB NME Appendix 1950-1993		
1985	Sulcosyn	Sulconazole Nitrate	1T89100D5U	08-30-85	NDA	18-738	Syntex	OB NME Appendix 1950-1993		
1985	Protropin	Somatrem	CU8D464EDW	10-17-85	NDA	19-107	Genentech	OB NME Appendix 1950-1993		
1985	Moctanin	Monooctanoin	VFU0OU98LO	10-29-85	NDA	19-368	Ascot Hospital	OB NME Appendix 1950-1993		
1985	Tambocor	Flecainide Acetate	M8U465Q1WQ	10-31-85	NDA	18-830	Riker	OB NME Appendix 1950-1993		
1985	Cuprid	Trientine Hydrochloride	HC3NX54582	11-08-85	NDA	19-194	Merck Sharp & Dahme	OB NME Appendix 1950-1993		
1985	Femstat	Butoconazole Nitrate	4805237NP5	11-25-85	NDA	19-215	Syntex	OB NME Appendix 1950-1993		
1985	Primaxin	Cilastatin Sodium	5428WXZ74M	11-26-85	NDA	50-587	Merck Sharp & Dohme	OB NME Appendix 1950-1993		
1985	Primaxin	lmipenem	71OTZ9ZE0A	11-26-85	NDA	50-587	Merck Sharp & Dohme	OB NME Appendix 1950-1993		
1985	Betagan	Levobunolol Hydrochloride	O90S49LDHH	12-19-85	NDA	19-219	Allergan	OB NME Appendix 1950-1993		
1985	Versed	Midazolam Hydrochloride	W7TTW573JJ	12-20-85	NDA	18-654	Hoffmann-la Roche	OB NME Appendix 1950-1993		
1985	Indium ln-111 Oxyquinoline	"Indium, In-111, Oxyquinoline"	LGX9OL562T	12-24-85	NDA	19-044	Amersham	OB NME Appendix 1950-1993		
1985	Cordarone	Amiodarone Hydrochloride	976728SY6Z	12-24-85	NDA	18-972	Ives	OB NME Appendix 1950-1993		
1985	Vasotec	Enalapril Maleate	9O25354EPJ	12-24-85	NDA	18-998	Merck Sharp & Dahme	OB NME Appendix 1950-1993		
1985	Suprol	Suprofen	988GU2F9PE	12-24-85	NDA	18-217	Ortho	OB NME Appendix 1950-1993		
1985	Omnipaque	Iohexol	4419T9MX03	12-26-85	NDA	18-956	Winthrop-Breon	OB NME Appendix 1950-1993		
1985	Cesamet	Nabilone	2N4O9L084N	12-26-85	NDA	18-677	Eli Lilly	OB NME Appendix 1950-1993		
1985	Cefotan	Cefotetan Oisodium	0GXP746VXB	12-27-85	NDA	50-588	Stuart	OB NME Appendix 1950-1993		
1985	Ternovate	Clobetasol Propionate	779619577M	12-27-85	NDA	19-322	Glaxo	OB NME Appendix 1950-1993		
1985	L-Carnitine	L-Carnitine	0G389FZZ9M	12-27-85	NDA	18-948	Sigma-Tau	OB NME Appendix 1950-1993		
1985	Dormalin	Quazepam	JF8V0828ZI	12-27-85	NDA	18-708	Schering	OB NME Appendix 1950-1993		
1985	Wellbutrin	Bupropion Hydrochloride	ZG7E5POY8O	12-30-85	NDA	18-644	Burroughs Wellcome	OB NME Appendix 1950-1993		
1985	Mexitil	Mexiletine Hydrochloride	606D60IS38	12-30-85	NDA	18-873	Boehringer lngelheim	OB NME Appendix 1950-1993		
1985	lsovue	Iopamidol	JR13W81H44	12-31-85	NDA	18-735	Squibb	OB NME Appendix 1950-1993		
1985	Virazole	Ribavirin	49717AWG6K	12-31-85	NDA	18-859	Viratek	OB NME Appendix 1950-1993		
1986	Orudis	Ketoprofen	90Y4QC304K	01-09-86	NDA	18-754	Wyeth	OB NME Appendix 1950-1993		
1986	Nix	Permethrin	509F88P9SZ	03-31-86	NDA	19-435	Burroughs Wellcome	OB NME Appendix 1950-1993		
1986	Buspar	Buspirone Hydrochloride	207LT9J9OC	09-29-86	NDA	18-731	Bristol-Myers	OB NME Appendix 1950-1993		
1986	Tegison	Etretinate	65M2UDR9AG	09-30-86	NDA	19-369	Hoffmann-La Roche	OB NME Appendix 1950-1993		
1986	Pepcid	Famotidine	5QZO15J2Z8	10-15-86	NDA	19-462	Merck Sharp & Dahme	OB NME Appendix 1950-1993		
1986	Tenex	Guanfacine Hydrochloride	PML56A160O	10-27-86	NDA	19-032	Robins	OB NME Appendix 1950-1993		
1986	Cibacalcin	Calcitonin (Human)	I0IO929019	10-31-86	NDA	18-470	Ciba-Geigy	OB NME Appendix 1950-1993		
1986	Provocholine	Methacholine Chloride	0W5ETF9M2K	10-31-86	NDA	19-193	Hoffmann-La Roche	OB NME Appendix 1950-1993		
1986	Noroxin	Norfloxacin	N0F8P22L1P	10-31-86	NDA	19-384	Merck Sharp & Dohme	OB NME Appendix 1950-1993		
1986	Technescan Hida	"Technetium, Tc-99m, lidofenin Kit"	6433TZJ6TQ	10-31-86	NDA	18-489	Merck Sharp & Dahme	OB NME Appendix 1950-1993		
1986	Lamprene	Clofazimine	D959AE5USF	12-15-86	NDA	19-500	Ciba-Geigy	OB NME Appendix 1950-1993		
1986	Enkaid	Encainide Hydrochloride	4CH7J36N9S	12-24-86	NDA	18-981	Bristol	OB NME Appendix 1950-1993		
1986	Alfenta	Alfentanil Hydrochloride	333JTI7A2M	12-29-86	NDA	19-353	Janssen	OB NME Appendix 1950-1993		
1986	Atrovent	Ipratropium Bromide	J697UZ2A9J	12-29-86	NDA	19-085	Boehringer lngelheim	OB NME Appendix 1950-1993		
1986	Maxair	Pirbuterol Acetate	1EH73XKR9N	12-30-86	NDA	19-009	Pfizer	OB NME Appendix 1950-1993		
1986	Cyklokapron	Tranexamic Acid	6T84R30KC1	12-30-86	NDA	19-280	KabiVitrum	OB NME Appendix 1950-1993		
1986	Azactam	Aztreonam	G2B4VE5GH8	12-31-86	NDA	50-580	Squibb	OB NME Appendix 1950-1993		
1986	Brevibloc	Esmolol Hydrochloride	V05260LC8D	12-31-86	NDA	19-386	DuPont	OB NME Appendix 1950-1993		
1986	Ocufen	Flurbiprofen Sodium	Z5B97MU9K4	12-31-86	NDA	19-404	Allergan	OB NME Appendix 1950-1993		
1986	Unasyn	sulbactam sodium	JFN36L5S8K	12-31-86	NDA	50-608	Pfizer	OB NME Appendix 1950-1993		
1986	Unasyn	ampicillin sodium	DKQ4T82YE6	12-31-86	NDA	50-608	Pfizer	OB NME Appendix 1950-1993		
1987	Choletec	"Technetium, Tc-99m, Mebrofenin Kit"	F2NQ468L52	01-21-87	NDA	18-963	Squibb	OB NME Appendix 1950-1993		
1987	Retrovir	Zidovudine	4B9XT59T7S	03-19-87	NDA	19-655	Burroughs Wellcome	OB NME Appendix 1950-1993		
1987	Elocon	Mometasone Furoate	04201GDN4R	04-30-87	NDA	19-543	Schering	OB NME Appendix 1950-1993		
1987	Hytrin	Terazosin Hydrochloride	8QOP8Z9955	08-07-87	NDA	19-057	Abbott	OB NME Appendix 1950-1993		
1987	Mevacor	Lovastatin	9LHU78OQFD	08-31-87	NDA	19-643	Merck Sharp & Dahme	OB NME Appendix 1950-1993		
1987	Cipro	Ciprofloxacin Hydrochloride	4BA73M5E37	10-22-87	NDA	19-537	Miles	OB NME Appendix 1950-1993		
1987	Novantrone	Mitoxantrone Hydrochloride	U6USW86RD0	12-23-87	NDA	19-297	Lederle	OB NME Appendix 1950-1993		
1987	Ucephan	Sodium Phenylacetate	OJ245FE5EU	12-23-87	NDA	19-530	Kendall McGaw	OB NME Appendix 1950-1993		
1987	Ucephan	Sodium Benzoate	48N6U1781G	12-23-87	NDA	19-530	Kendall McGaw	OB NME Appendix 1950-1993		
1987	Parathar	Teriparatide Acetate	9959P4V12N	12-23-87	NDA	19-498	Rorer	OB NME Appendix 1950-1993		
1987	Spectamine	"Iofetamine HydrochIoride, 1-123"	R5O1XB5L3M	12-24-87	NDA	19-432	Medi-Physics	OB NME Appendix 1950-1993		
1987	Rowasa	Mesalamine	4Q81I59GXC	12-24-87	NDA	19-618	Reid-Rowell	OB NME Appendix 1950-1993		
1987	Prozac	Fluoxetine Hydrochloride	I9W7N6B1KJ	12-29-87	NDA	18-936	Eli lilly	OB NME Appendix 1950-1993		
1987	Prinivil	Lisinopril	E7199S1YWR	12-29-87	NDA	19-558	Merck Sharp & Dohme	OB NME Appendix 1950-1993		
1987	Cefmax	Cefmenoxime Hydrochloride	NON736D32W	12-30-87	NDA	50-571	Tap	OB NME Appendix 1950-1993		
1987	levatol	Penbutolol	78W62V43DY	12-30-87	NDA	18-976	Eli Lilly	OB NME Appendix 1950-1993		
1987	Iopidone	Apraclonidine Hydrochloride	D2VW67N38H	12-31-87	NDA	19-779	Alcon	OB NME Appendix 1950-1993		
1987	Rimadyl	Carprofen	FFL0D546HO	12-31-87	NDA	18-550	Hoffmann-La Roche	OB NME Appendix 1950-1993		
1987	Primacor	Milrinone Lactate	9K8XR81MO8	12-31-87	NDA	19-436	Sterling-Winthrop	OB NME Appendix 1950-1993		
1987	Bactroban	mupirocin	D0GX863OA5	12-31-87	NDA	50-591	Beecham	OB NME Appendix 1950-1993		
1987	Terazol 7	Terconazole	0KJ2VE664U	12-31-87	NDA	19-579	Ortho	OB NME Appendix 1950-1993		
1987	Actigall	Ursodiol	724L30Y2QR	12-31-87	NDA	19-594	Gipharmex	OB NME Appendix 1950-1993		
1987	Activase	Alteplase	1RXS4UE564	11-13-87	BLA	103-172		https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=103172		
1988	Naftin	Naftifine Hydrochloride	25UR9N9041	02-29-88	NDA	19-599	Herbert	OB NME Appendix 1950-1993		
1988	Axid	Nizatidine	P41PML4GHR	04-12-88	NDA	19-508	Eli lilly	OB NME Appendix 1950-1993		
1988	Magnevist	Gadopentetate Dimeglumine	RH248G8V27	06-02-88	NDA	19-596	Berlex	OB NME Appendix 1950-1993		
1988	Voltaren	Diclofenac Sodium	QTG126297Q	07-28-88	NDA	19-201	Ciba	OB NME Appendix 1950-1993		
1988	Thiola	Tiopronin	C5W04GO61S	08-11-88	NDA	19-569	University of Texas	OB NME Appendix 1950-1993		
1988	Photoplex	Avobenzone	G63QQF2NOX	09-30-88	NDA	19-459	Herbert	OB NME Appendix 1950-1993		
1988	Photoplex	Padimate 0	Z11006CMUZ	09-30-88	NDA	19-459	Herbert	OB NME Appendix 1950-1993		
1988	Sandostatin	Octreotide Acetate	75R0U2568I	10-21-88	NDA	19-667	Sandoz	OB NME Appendix 1950-1993		
1988	Cardene	Nicardipine Hydrochloride	K5BC5011K3	12-21-88	NDA	19-488	Syntex	OB NME Appendix 1950-1993		
1988	Ethamolin	Ethanolamine Oleate	U4RY8MRX7C	12-22-88	NDA	19-357		OB NME Appendix 1950-1993		
1988	Cytotec	Misoprostol	0E43V0BB57	12-27-88	NDA	19-268	Searle	OB NME Appendix 1950-1993		
1988	Cartrol	Carteolol Hydrochloride	4797W6I0T4	12-28-88	NDA	19-204	Abbott	OB NME Appendix 1950-1993		
1988	Nimotop	Nimodipine	57WA9QZ5WH	12-28-88	NDA	18-869	Miles	OB NME Appendix 1950-1993		
1988	Hismanal	Astemizole	7HU6337315	12-29-88	NDA	19-402	Janssen	OB NME Appendix 1950-1993		
1988	Oxistat	Oxiconazole Nitrate	RQ8UL4C17S	12-30-88	NDA	19-828	Glaxo	OB NME Appendix 1950-1993		
1988	Ceradon	Cefotiam Hydrochloride	H7V12WDZ93	12-30-88	NDA	50-601	Takeda	OB NME Appendix 1950-1993		
1988	Ifex	Ifosfamide	UM20QQM95Y	12-30-88	NDA	19-763	Bristol-Myers	OB NME Appendix 1950-1993		
1988	Optiray	Ioversol	N3RIB7X24K	12-30-88	NDA	19-710	Mallinckrodt	OB NME Appendix 1950-1993		
1988	Mesnex	Mesna	NR7O1405Q9	12-30-88	NDA	19-884	Asta	OB NME Appendix 1950-1993		
1988	Permax	Pergolide Mesylate	55B9HQY616	12-30-88	NDA	19-385	Eli Lilly	OB NME Appendix 1950-1993		
1988	Ceretec	"Technetium, Tc-99m, Exametazime Kit"	3B744AG22N	12-30-88	NDA	19-829	Amersham	OB NME Appendix 1950-1993		
1989	Eulexin	Flutamide	76W6J0943E	01-27-89	NDA	18-554	Schering	OB NME Appendix 1950-1993		
1989	Cefpiramide Sodium	Cefpiramide Sodium	137KB7GYKB	01-31-89	NDA	50-633	Wyeth-Ayerst	OB NME Appendix 1950-1993		
1989	Paraplatin	Carboplatin	BG3F62OND5	03-03-89	NDA	19-880	Bristol-Myers Squibb	OB NME Appendix 1950-1993		
1989	Suprax	Cefixime	97I1C92E55	04-28-89	NDA	50-621	Lederle	OB NME Appendix 1950-1993		
1989	Mefloquine Hydrochloride	Mefloquine Hydrochloride	5Y9L3636O3	05-02-89	NDA	19-578	Department of the Army	OB NME Appendix 1950-1993		
1989	Eldepryl	Selegiline Hydrochloride	6W731X367Q	06-05-89	NDA	19-334	Somerset	OB NME Appendix 1950-1993		
1989	Cytovene	Ganciclovir Sodium	02L083W284	06-23-89	NDA	19-661	Syntex	OB NME Appendix 1950-1993		
1989	Prilosec	Omeprazole	KG60484QX9	09-14-89	NDA	19-810	Merck Sharp & Dohme	OB NME Appendix 1950-1993		
1989	Clozaril	Clozapine	J60AR2IKIC	09-26-89	NDA	19-758	Sandoz	OB NME Appendix 1950-1993		
1989	Diprivan	Propotol	YI7VU623SF	10-02-89	NDA	19-627	ICI Americas	OB NME Appendix 1950-1993		
1989	Adenocard	Adenosine	K72T3FS567	10-30-89	NDA	19-937	Medco	OB NME Appendix 1950-1993		
1989	Rythmol	Propafenone Hydrochloride	33XCH0HOCD	11-27-89	NDA	19-151	Knoll	OB NME Appendix 1950-1993		
1989	Toradol	Ketorolac Tromethamine	4EVE5946BQ	11-30-89	NDA	19-698	Syntex	OB NME Appendix 1950-1993		
1989	Osmovist	Iotrolan	16FL47B687	12-07-89	NDA	19-580	Berlex	OB NME Appendix 1950-1993		
1989	Zefazone	Cefmetazole Sodium	37Y9VR4W7A	12-11-89	NDA	50-637	Upjohn	OB NME Appendix 1950-1993		
1989	Pindac	Pinacidil	7B0ZZH8P2W	12-28-89	NDA	19-456	Eli Lilly	OB NME Appendix 1950-1993		
1989	Anafranil	Clomipramine Hydrochloride	2LXW0L6GWJ	12-29-89	NDA	19-906	Ciba-Geigy	OB NME Appendix 1950-1993		
1989	Dalgan	Dezocine	VHX8K5SV4X	12-29-89	NDA	19-082	Wyeth-Ayerst	OB NME Appendix 1950-1993		
1989	Zoladex	Goserelin Acetate	6YUU2PV0U8	12-29-89	NDA	19-726	ICI	OB NME Appendix 1950-1993		
1989	Decabid	Indecainide Hydrochloride	M76V0B96L5	12-29-89	NDA	19-693	Eli Lilly	OB NME Appendix 1950-1993		
1989	Betamet	Metipranolol Hydrochloride	FBW237ALKD	12-29-89	NDA	19-907	Bausch & Lomb	OB NME Appendix 1950-1993		
1989	Ortho Cyclen	Norgestimate	C291HFX4DY	12-29-89	NDA	19-653	R W Johnson	OB NME Appendix 1950-1993		
1989	Ortho Cyclen	Ethinyl Estradiol	423D2T571U	12-29-89	NDA	19-653	R W Johnson	OB NME Appendix 1950-1993		
1989	Cardiogen-82	"Rubidium Chloride, Rb-82"	F0Z746KRKQ	12-29-89	NDA	19-414	Bristol-Myers Squibb	OB NME Appendix 1950-1993		
1989	Eminase	Anistreplase	5O8V541HJ6	11-28-89						
1989	Epogen	Epoetin alfa	64FS3BFH5W	06-01-89	BLA	103-234		https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=103234		
1989	Alferon N Injection	Interferon alfa-n3 (Human Leukocyte Derived)	47BPR3V3MP	10-10-89	BLA	103-158		https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=103158		
1990	Diflucan	Fluconazole	8VZV102JFY	01-29-90	NDA	19-949	Pfizer	OB NME Appendix 1950-1993		
1990	Synarel	Nafarelin Acetate	TH2HMT9YBQ	02-13-90	NDA	19-886	Syntex	OB NME Appendix 1950-1993		
1990	Adagen	Pegademase	HW3H7D91F6	03-21-90	NDA	19-818	Enzon	OB NME Appendix 1950-1993		
1990	TechneScan MAG3	"Technetium, Tc-99m, Mertiatide Kit"	36ITO9SKQJ	06-15-90	NDA	19-882	Mallinckrodt	OB NME Appendix 1950-1993		
1990	Ergamisol	Levamisole Hydrochloride	DL9055K809	06-18-90	NDA	20-035	Janssen	OB NME Appendix 1950-1993		
1990	Ethmozine	Moricizine Hydrochloride	71OK3Z1ESP	06-19-90	NDA	19-753	DuPont	OB NME Appendix 1950-1993		
1990	Arduan	Pipecuronium Bromide	W7B1R139K3	06-26-90	NDA	19-638	Organon	OB NME Appendix 1950-1993		
1990	Dipentum	Olsalazine Sodium	Y7JEW0XG7I	07-31-90	NDA	19-715	Pharmacia	OB NME Appendix 1950-1993		
1990	Exosurf	colfosceril palmitate	319X2NFW0A	08-02-90	NDA	20-044	Burroughs Wellcome	OB NME Appendix 1950-1993		
1990	ldamycin	Idarubicin Hydrochloride	5VV3MDU5IE	09-27-90	NDA	50-661	Adria	OB NME Appendix 1950-1993		
1990	Cardura	Doxazosin Mesylate	86P6PQK0MU	11-02-90	NDA	19-668	Pfizer	OB NME Appendix 1950-1993		
1990	Ornidyl	Eflornithine Hydrochloride	4NH22NDW9H	11-28-90	NDA	19-879	Merrell Dow	OB NME Appendix 1950-1993		
1990	Cutivate	Fluticasone Propionate	O2GMZ0LF5W	12-14-90	NDA	19-957	Glaxo	OB NME Appendix 1950-1993		
1990	Ultravate	Halobetasol Propionate	91A0K1TY3Z	12-17-90	NDA	19-968	Bristol-Myers Squibb	OB NME Appendix 1950-1993		
1990	Cardiotec	"technetium, Tc-99m, teboroxime kit"	UT0WHJ4951	12-19-90	NDA	19-928	Squibb	OB NME Appendix 1950-1993		
1990	Dynacirc	Isradipine	YO1UK1S598	12-20-90	NDA	19-546	Sandoz	OB NME Appendix 1950-1993		
1990	Cardiolite	"Technetium, Tc-99m, Sestamibi Kit"	971Z4W1S09	12-21-90	NDA	19-785	DuPont	OB NME Appendix 1950-1993		
1990	Hexalen	Altretamine	Q8BIH59O7H	12-26-90	NDA	19-926	U.S. Bioscience	OB NME Appendix 1950-1993		
1990	ProSom	Estazolam	36S3EQV54C	12-26-90	NDA	19-080		OB NME Appendix 1950-1993		
1990	Vascor	Bepridil Hydrochloride	4W2P15D93M	12-28-90	NDA	19-002	R W Johnson	OB NME Appendix 1950-1993		
1990	Floxin	Ofloxacin	A4P49JAZ9H	12-28-90	NDA	19-735	R W Johnson	OB NME Appendix 1950-1993		
1990	Geref	Sermorelin Acetate	00IBG87IQW	12-28-90	NDA	19-863	Serono	OB NME Appendix 1950-1993		
1990	Rev-Eyes	Dapiprazole Hydrochloride	DS9UJN1I0X	12-31-90	NDA	19-849	Angelini	OB NME Appendix 1950-1993		
1990	Actimmune	Interferon gamma-1b	21K6M2I7AG	12-20-90	BLA	103-836		https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=103836		
1991	Zofran	Ondansetron Hydrochloride	2999F27MAD	01-04-91	NDA	20-007	Glaxo	OB NME Appendix 1950-1993		
1991	Ganite	Gallium Nitrate	VRA0C6810N	01-17-91	NDA	19-961	Fujisawa	OB NME Appendix 1950-1993		
1991	Altace	Ramipril	L35JN3I7SJ	01-28-91	NDA	19-901	Hoechst-Roussel	OB NME Appendix 1950-1993		
1991	Chemet	Succimer	DX1U2629QE	01-30-91	NDA	19-998	McNeil	OB NME Appendix 1950-1993		
1991	Lodine	Etodolac	2M36281008	01-31-91	NDA	18-922	Wyeth Ayerst	OB NME Appendix 1950-1993		
1991	Nuromax	Doxacurium Chloride	M78TVM3G5Z	03-07-91	NDA	19-946	Burroughs Wellcome	OB NME Appendix 1950-1993		
1991	Ceredase	Alglucerase	27T56C7KK0	04-05-91	NDA	20-057	Genzyme	OB NME Appendix 1950-1993		
1991	Fludara	Fludarabine Phosphate	1X9VK9O1SC	04-18-91	NDA	20-038	Berlex	OB NME Appendix 1950-1993		
1991	Monopril	Fosinopril Sodium	NW2RTH6T2N	05-16-91	NDA	19-915	Bristol-Myers Squibb	OB NME Appendix 1950-1993		
1991	Lotensin	Benazepril Hydrochloride	N1SN99T69T	06-25-91	NDA	19-851	Ciba	OB NME Appendix 1950-1993		
1991	Survanta	Beractant	S866O45PIG	07-01-91	NDA	20-032	Ross	OB NME Appendix 1950-1993		
1991	Plendil	Felodipine	OL961R6O2C	07-25-91	NDA	19-834	Merck Sharp & Dahme	OB NME Appendix 1950-1993		
1991	Foscavir	Foscarnet Sodium	964YS0OOG1	09-27-91	NDA	20-068	Astra	OB NME Appendix 1950-1993		
1991	Videx	Didanosine	K3GDH6OH08	10-09-91	NDA	20-154	Bristol-Myers Squibb	OB NME Appendix 1950-1993		
1991	Nipent	Pentostatin	395575MZO7	10-11-91	NDA	20-122	Parke-Davis	OB NME Appendix 1950-1993		
1991	Biaxin	Clarithromycin	H1250JIK0A	10-31-91	NDA	50-662	Abbott	OB NME Appendix 1950-1993		
1991	Aredia	Pamidronate	OYY3447OMC	10-31-91	NDA	20-036	Ciba-Geigy	OB NME Appendix 1950-1993		
