Cat No	Product Name	Cas Number	SMILES	Primary Action	Biological Description	References	Product Type	Public Caveats	URL	Previous Order	UK Controlled	USA Controlled	Date Added
1034	4-P-PDOT	[134865-74-0]	CCC(=O)NC1CC(C2=CC=CC=C2)C2=C(C1)C=CC=C2	MT2 antagonist	"Melatonin receptor antagonist, >300-fold selective for the MT2 (vs MT1) subtype."	Dubocovich et al (1995) Melatonin receptors: are there multiple subtypes? TiPS 16 50. PMID:7762083. Dubocovich et al (1997) Melatonin receptor antagonists that differentiate between the human Mel1a and Mel1b recombinant subtypes are used to assess the pharmacological profile of the rabbit retina ML1 presynaptic heteroceptor. Naunyn Schmiedebergs Arch.Pharmacol. 355 365. PMID:9089668.	Small Molecule		http://www.tocris.com/dispprod.php?ItemId=2318	SQ1341			Apr-1997
1035	8-M-PDOT	[134865-70-6]	CCC(=O)NC1CCC2=C(C1)C(OC)=CC=C2	Melatonin agonist	"Melatonin receptor agonist, 20-fold selective for the MT2 (vs MT1) subtype. At human recombinant MT1 and MT2 receptors, displays pKi values of 8.23 and 8.95 respectively."	Dubocovich et al (1995) Melatonin receptors: are there multiple subtypes? TiPS 16 50. PMID:7762083. Dubocovich et al (1997) Melatonin receptor antagonists that differentiate between the human Mel1a and Mel1b recombinant subtypes are used to assess the pharmacological profile of the rabbit retina ML1 presynaptic heteroceptor. Naunyn Schmiedebergs Arch.Pharmacol. 355 365. PMID:9089668. Browning et al (2000) Pharmacological characterization of human recombinant melatonin mt1 and MT2 receptors. Br.J.Pharmacol. 129 877. PMID:10696085.	Small Molecule		http://www.tocris.com/dispprod.php?ItemId=2313	SQ1341			Mar-1997
1036	ZM 241385	[139180-30-6]	NC1=NC(NCCC2=CC=C(O)C=C2)=NC2=NC(=NN12)C1=CC=CO1	"Potent, highly selective A2A antagonist"	"Potent and highly selective A2A adenosine antagonist, with a pA2 of 9.02 for A2A receptors in guinea pig cardiac vasculature and selectivities of 1000, 91 and 500,000 over A1, A2B and A3 sites respectively. Active in vivo."	"Poucher et al (1995) The in vitro pharmacology of ZM 241385, a potent, non-xanthine, A2a selective adenosine receptor antagonist. Br.J.Pharmacol. 115 1096. PMID:7582508. Poucher et al (1996) Pharmacodynamics of ZM 241385, a potent A2a adenosine receptor antagonist, after enteric administration in rat, cat and dog. J.Pharm.Pharmacol. 48 601. PMID:8832494. Keddie et al (1996) In vivo characterisation of ZM 241385, a selective adenosine A2A receptor antagonist. Eur.J.Pharmacol. 301 107. PMID:8773453."	Small Molecule	Sold with the permission of AstraZeneca UK Ltd.	http://www.tocris.com/dispprod.php?ItemId=2285	SQ1341			Jan-1997
1037	PD 153035 hydrochloride	[183322-45-4]	BrC1=CC=CC(NC3=NC=NC2=CC(OC)=C(OC)C=C23)=C1.Cl	EGFR-kinase inhibitor	"An extremely potent inhibitor of epidermal growth factor (EGF) receptor tyrosine kinase, with an IC50 of 25 pM. Inhibits other purified tyrosine kinases only at micromolar or higher concentrations."	"Fry et al (1994) A specific inhibitor of the epidermal growth factor receptor tyrosine kinase. Science 265 1093. PMID:8066447. Bridges et al (1996) Tyrosine kinase inhibitors. 8. An unusually steep structure-activity relationship for analogues of 4-(3-bromoanilino)-6,7-dimethoxyquinazoline (PD 153035), a potent inhibitor of the epidermal growth factor receptor. J.Med.Chem. 39 267. PMID:8568816. Bos et al (1997) PD153035, a tyrosine kinase inhibitor, prevents epidermal growth factor receptor activation and inhibits growth of cancer cells in a receptor number-dependent manner. Clin.Cancer Res. 3 2099. PMID:9815602."	Small Molecule	Sold with the permission of AstraZeneca UK Ltd.	http://www.tocris.com/dispprod.php?ItemId=2302	SQ1533			Mar-1997
1040	TPMPA	[182485-36-5]	OP(C1=CCNCC1)(C)=O	Selective GABAC antagonist	"A selective, competitive GABAC antagonist with only minimal effects on GABAA and GABAB receptors (Kb values are 2.1 _M (antagonist), 320 _M (antagonist) and EC50 ~ 500 _M (weak agonist) respectively). Displays 8-fold selectivity for human recombinant _1 receptors over _2 receptors."	Ragozzino et al (1996) Design and in vitro pharmacology of a selective _-aminobutyric acidc receptor antagonist. Mol.Pharmacol. 50 1024. PMID:8863850. Murata et al (1996) The first selective antagonist for a GABAc receptor. Bioorg.Med.Chem.Lett. 6 2073. Chebib et al (1998) GABAC receptor antagonists differentiate between human r1 and r2 receptors expressed in Xenopus oocytes. Eur.J.Pharmacol. 357 227. PMID:9797041. Xu et al (2009) The involvement of GABA-C receptors in paired pulse depression of inhibitory postsynaptic currents in rat hippocampal CA1 pyramidal neurons. Exp.Neurol. 216 243. PMID:19100735.	Small Molecule		http://www.tocris.com/dispprod.php?ItemId=2162				Apr-1997
1041	1-EBIO	[10045-45-1]	CCN1C(=O)NC2=C1C=CC=C2	Activator of epithelial KCa channels	"Activator of epithelial KCa channels, stimulates a large and sustained trans-epithelial Cl- secretory response across T84 monolayers. Induces hyperpolarization to the same magnitude as ACh in aortic value endothelial cells. Promotes embryonic stem cell (ESC) differentiation into cardiomyocytes."	Devor et al (1996) Modulation of Cl- secretion by benzimidazolones. I. Direct activation of a Ca2+ - dependent K+ channel. Am.J.Physiol. 271 L775. PMID:8944721. Ayotunde and Adeagbo (1999) 1-Ethyl-2-benzimidazolinone stimulates endothelial KCa channels and nitric oxide formation in rat mesenteric vessels. Eur.J.Pharmacol. 379 151. PMID:10497901. Kusama et al (2005) Reduced hyperpolarisation in endothelial cells of rabbit aortic value following chronic nitroglycerine administration. Br.J.Pharmacol. 146 487. PMID:16056232. Kleger et al (2010) Modulation of calcium-activated potassium channels induces cardiogenesis of pluripotent stem cells and enrichment of pacemaker-like cells. Circulation. 122 1823. PMID:20956206.	Small Molecule		http://www.tocris.com/dispprod.php?ItemId=2287	SQ1070			Jan-1997
1042	N-Methyllidocaine iodide	[1462-71-1]	[I-].CC[N+](C)(CC)CC(=O)NC1=C(C)C=CC=C1C	Enhances biosynthesis of phosphatidylinositol	Antiarrhythmic. Enhances the biosynthesis of phosphatidylinositol in hamster heart.	Tardi et al (1992) The effect of methyl-lidocaine on the biosynthesis of phospholipids de novo in the isolated hamster heart. Biochem.J. 285 161. PMID:1322123. Lee et al (1995) The modulation of phosphatidylinositol in hamster hearts by methyl lidocaine. Biochem.J. 309 871. PMID:7639704.	Small Molecule		http://www.tocris.com/dispprod.php?ItemId=2316				May-1997
1043	QX 222	[5369-00-6]	[Cl-].CC1=CC=CC(C)=C1NC(=O)C[N+](C)(C)C	Na+ channel blocker	Sodium channel blocker.	Cuevas and Adams (1994) Local anaesthetic blockade of neuronal nicotinic ACh receptor-channels in rat parasympathetic ganglion cells. Br.J.Pharmacol. 11 663. PMID:7517326. Hanck et al (1994) Kinetic effects of quaternary lidocaine block of cardiac sodium channels: a gating current study. J.Gen.Physiol. 103 19. PMID:8169596.	Small Molecule		http://www.tocris.com/dispprod.php?ItemId=2321				Apr-1997
1044	NBQX disodium salt	[479347-86-9]	[Na+].[Na+].NS(=O)(=O)C1=C2C(=CC=C1)C1=NC([O-])=C([O-])N=C1C=C2[N+]([O-])=O	Potent AMPA antagonist. More water soluble form of NBQX (Cat. No. 0373)	"Potent, selective and competitive AMPA receptor antagonist. Neuroprotective and anticonvulsant; active in vivo. More water soluble disodium salt of NBQX (Cat. No. 0373). Also available as part of the AMPA Receptor Tocriset."	"Gill et al (1992) The neuroprotective actions of 2,3-dihydroxy-6-nitro-7-sulfamoylbenzo(f)quinoxaline (NBQX) in a rat focal ischaemia model. Brain Res. 580 35. PMID:1504814. Zeman and Lodg (1992) Pharmacological characterization of non-NMDA subtypes of glutamate receptors in the neonatal rat hemisected spinal cord in vitro. Br.J.Pharmacol. 106 367. PMID:1382781. Sheardown et al (1993) The pharmacology of AMPA receptors and their antagonists. Stroke 24 146. PMID:7504337. Namba et al (1994) Antiepileptogenic and anticonvulsant effects of NBQX, a selective AMPA receptor antagonist, in the rat kindling model of epilepsy. Brain Res. 638 36. PMID:8199874."	Small Molecule	Sold with the permission of Novo Nordisk A/S	http://www.tocris.com/dispprod.php?ItemId=2317				Apr-1997
1045	CNQX disodium salt	[479347-85-8]	[Na+].[Na+].[O-]C1=C([O-])N=C2C=C(C(=CC2=N1)C#N)[N+]([O-])=O	Potent AMPA/kainate antagonist. More water soluble form of CNQX (Cat. No. 0190)	More water soluble disodium salt of the AMPA/kainate antagonist CNQX (Cat. No. 0190). Also available as part of the Kainate Receptor Tocriset.	"Honore et al (1988) Quinoxalinediones: potent competitive non-NMDA glutamate receptor antagonists. Science 241 701. PMID:2899909. Long et al (1990) Effect of 6-cyano-2,3-dihydroxy-7-nitro-quinoxaline (CNQX) on dorsal root-, NMDA-, kainate and quisqualate-mediated depolarization of rat motoneurones in vitro. Br.J.Pharmacol. 100 850. PMID:1976402. Watkins et al (1990) Structure-activity relationships in the development of excitatory amino acid receptor agonists and competitive antagonists. TiPS 11 25. PMID:2155495. King et al (1992) Antagonism of synaptic potentials in ventral horn neurones by 6-cyano-7-nitroquinoxaline-2,3-dione: a study in the rat spinal cord in vitro. Br.J.Pharmacol. 107 375. PMID:1358390."	Small Molecule		http://www.tocris.com/dispprod.php?ItemId=1036				Apr-1997
1046	Zardaverine	[101975-10-4]	COC1=C(OC(F)F)C=CC(=C1)C1=NNC(=O)C=C1	PDE3/4 inhibitor	"Phosphodiesterase inhibitor, selective for PDE3 and 4 (IC50 values are 0.5 and 0.8 _M respectively). Also available as part of the Phosphodiesterase Inhibitor Tocriset."	Kilian et al (1989) Is phosphodiesterase inhibition a relevant bronchospasmolytic principle? Agents Actions Suppl. 28 331. PMID:2683636. Galvan and Schudt (1990) Actions of the phosphodiesterase inhibitor zardaverine on guinea pig ventricular muscle. Naunyn Schmiedebergs Arch.Pharmacol. 342 221. PMID:1700309.	Small Molecule		http://www.tocris.com/dispprod.php?ItemId=2299	SQ1533			Feb-1997
1047	"ICI 182,780"	[129453-61-8]	OC1=CC=C2C(C[C@@H](CCCCCCCCCS(CCCC(F)(C(F)(F)F)F)=O)C3([H])[C@@]([H])2CC[C@@]4(C)[C@@](CC[C@@H]4O)3[H])=C1	Estrogen receptor antagonist	"A high affinity estrogen receptor antagonist (IC50 = 0.29 nM), devoid of any partial agonism both in vitro and in vivo. Also high affinity agonist at the membrane estrogen receptor GPR30."	"Wakeling et al (1991) A potent specific pure antiestrogen with clinical potential. Cancer Res. 51 3867. PMID:1855205. de Cupis et al (1995) Comparison between novel steroid-like and conventional nonsteroidal antioestrogens in inhibiting oestradiol and IGF-I induced proliferation of human breast cancer-derived cells. Br.J.Pharmacol. 116 2391. PMID:8581274. Howell et al (2000) ICI 182,780 (FaslodexTM): Development of a novel, ""pure"" antiestrogen. Cancer 89 817. PMID:10951345. Thomas et al (2005) Identity of an estrogen membrane receptor coupled to a G protein in human breast cancer cells. Endocrinology. 146 624. PMID:15539556."	Small Molecule	Sold with the permission of AstraZeneca UK Ltd.	http://www.tocris.com/dispprod.php?ItemId=2320	SQ1533			Apr-1997
1048	1-BCP	[34023-62-6]	O=C(N1CCCCC1)C1=CC2=C(OCO2)C=C1	Modulates AMPA-mediated responses	A centrally active selective potentiator of AMPA-mediated responses. Facilitates memory retention in rats.	"Arai et al (1994) A centrally active drug that modulates AMPA receptor gated currents. Brain Res. 638 343. PMID:7911064. Desai et al (1995) 1-BCP, a memory-enhancing agent, selectively potentiates AMPA-induced [3H]norepinephrine release in rat hippocampal slices. Neuropharmacology 34 141. PMID:7542369. Vanove (1997) Effects of AMPA receptor positive modulators on amphetamine- and dizocilpine-induced locomotion. Eur.J.Pharmacol. 332 115. PMID:9286612. Yamada et al (1998) AMPA receptor activation potentiated by the AMPA modulator 1-BCP is toxic to cultured rat hippocampal neurons. Neurosci.Lett. 249 119. PMID:9682831."	Small Molecule		http://www.tocris.com/dispprod.php?ItemId=1037	SQ1341			May-1997
1049	CHPG	[170846-74-9]	NC(C(O)=O)C1=CC(O)=CC=C1Cl	mGlu5 selective agonist	"A selective mGlu5 metabotropic glutamate receptor agonist, completely inactive at mGlu1a receptors expressed in CHO cells. Active in vivo. CHPG sodium salt (Cat. No. 3695) also available."	"Doherty et al (1997) (RS)-2-Chloro-5-hydroxyphenylglycine (CHPG) activates mGlu5, but not mGlu1, receptors expressed in CHO cells and potentiates NMDA responses in the hippocampus. Neuropharmacology 36 265. PMID:9144665. Salt et al (1999) Antagonism of the mGlu5 agonist 2-chloro-5-hydroxyphenylglycine by the novel selective mGlu5 antagonist 6-methyl-2-(phenylethynyl)-pyridine (MPEP) in the thalamus. Br.J.Pharmacol. 127 1057. PMID:10455248. Ugolini et al (1999) Potentiation of NMDA and AMPA responses by the specific mGluR5 agonist CHPG in spinal cord motoneurones. Neuropharmacology 38 1569. PMID:10530818. Bao et al (2001) Selective mGluR5 receptor antagonist or agonist provides neuroprotection in a rat model of focal cerebral ischaemia. Brain Res. 922 173. PMID:11743947."	Small Molecule		http://www.tocris.com/dispprod.php?ItemId=1777	SQ1341			Sep-1997
1050	RS 102221 hydrochloride	[187397-18-8]	Cl.COC1=CC(OC)=C(NS(=O)(=O)C2=CC=C(C=C2)C(F)(F)F)C=C1C(=O)CCCCN1CCC2(CC1)NC(=O)NC2=O	Selective 5-HT2C antagonist	"Potent and selective 5-HT2C antagonist (pKi = 8.7). Displays ~ 100-fold selectivity over the 5-HT2A and 5-HT2B subtypes and is > 100-fold selective over other 5-HT receptors, _- and _-adrenergic and muscarinic ACh receptors."	"Weinhardt et al (1996) Some benzenesulphonamido-substituted valerophenones that are selective antagonists for the 5-HT2C receptor. Bioorg.Med.Chem.Lett. 6 2687. Bonhaus et al (1997) RS-102221: a novel high affinity and selective 5-HT2C receptor antagonist. Neuropharmacology 36 621. PMID:9225287. Bonhaus et al (1998) Absorption and brain penetration of a high affinity, highly selective 5-HT2C receptor antagonist, RS-102221. Ann.N.Y.Acad.Sci. 861 269. PMID:9928284."	Small Molecule	Sold with the permission of Roche Bioscience	http://www.tocris.com/dispprod.php?ItemId=2244	SQ1341			Dec-1997
1051	Zinterol hydrochloride	[37000-20-7]	OC1=C(NS(=O)(C)=O)C=C(C(O)CNC(C)(C)CC2=CC=CC=C2)C=C1.Cl	Selective _2 agonist	"Potent and selective _2-adrenoceptor agonist (pKB values are 8.3 and < 5.7 for _ 2 and _1 receptors respectively, as measured in human artery)."	Arvydas Skeberdis et al (1997) Beta-2 adrenergic activation of L-type Ca2+ current in cardiac myocytes. J.Pharmacol.Exp.Ther. 283 452. PMID:9353357. Kauman (1997) Four _-adrenoceptor subtypes in the mammalian heart. TiPS 18 70. PMID:9133774. Hutchinson et al (2006) Agonist effects of zinterol at the mouse and human _3-adrenoceptor. Naunyn Schmiedebergs Arch.Pharmacol. 373 158. PMID:16601951.	Small Molecule		http://www.tocris.com/dispprod.php?ItemId=1606	SQ1070			Feb-2008
1052	A 61603 hydrobromide	[107756-30-9]	Br.CS(=O)(=O)NC1=C(O)C=CC2=C1CCCC2C1=NCCN1	_1A agonist	Potent _-adrenoceptor agonist that is at least 35-fold more potent at _1A than at _1B or _1D sites. Induces dose response increases in spontaneous Ca2+ transients in rat ventricular myocytes in vitro (EC50 = 6.9 nmol/L). Also available as part of the _1-Adrenoceptor Tocriset.	"Knepper et al (1995) A-61603, a potent _1-adrenergic receptor agonist, selective for the _1A receptor subtype. J.Pharmacol.Exp.Ther. 274 97. PMID:7616455. Meyer et al (1996) Synthesis and in vitro characterisation of N-[5-(4,5-dihydro-1H-imidazol-2-yl)-2-hydroxy-5,6,7,8-tetrahydronaphthalen-1-yl]methanesulfonamide and its enantiomers: a novel selective _1A receptor agonist. J.Med.Chem. 39 4116. PMID:8831777. Luo et al (2007) Receptor subtype involved in _1A-adrenergic receptor-mediated Ca2+ signaling in cardiomyocytes. Acta.Pharmacol.Sin. 28 968. PMID:17588332."	Small Molecule		http://www.tocris.com/dispprod.php?ItemId=2122	SQ1341			Mar-1999
1053	RJR 2403 oxalate	[220662-95-3]	O=C(O)C(O)=O.CNCC/C=C/C1=CC=CN=C1	_4_2 selective nicotinic agonist	"A neuronal nicotinic receptor agonist, showing high selectivity for the _4_2 subtype (Ki values are 26 and 36000 nM for _4_2 and _7 receptors respectively). Active in vivo."	"Bencherif et al (1996) RJR-2403: a nicotinic agonist with CNS selectivity I. In vitro characterization. J.Pharmacol.Exp.Ther. 279 1413. PMID:8968366. Lippiello et al (1996) RJR-2403: a nicotinic agonist with CNS selectivity II. In vivo characterization. J.Pharmacol.Exp.Ther. 279 1422. PMID:8968367. Damaj et al (1999) Antinociceptive and pharmacological effects of metanicotine, a selective nicotinic agonist. J.Pharmacol.Exp.Ther. 291 390. PMID:10490929."	Small Molecule		http://www.tocris.com/dispprod.php?ItemId=1818				Jan-1998
1054	GR 55562 dihydrochloride	[159533-25-2]	Cl.Cl.CN(C)CCCC1=CC(=CC=C1O)C(=O)NC1=CC=C(C=C1)C1=CC=NC=C1	5-HT1B antagonist	A selective competitive 5-HT1B (5-HT1D_) silent antagonist with pKB values of 7.3 and 6.3 for human cloned 5-HT1B and 5-HT1D receptors respectively and only weak binding at a number of other 5-HT subtypes.	"Walsh et al (1995) The activity of 5-HT1D receptor ligands at cloned human 5-HT1D_ and 5-HT1D_ receptors. Eur.J.Pharmacol. 287 79. PMID:8666030. Connor et al (1995) Use of GR55562, a selective 5-HT1D antagonist, to investigate 5-HT1D receptor subtypes mediating cerebral vasoconstriction. Cephalalgia 15 (suppl. 14) 99. MacLean et al (1996) Evidence for 5-HT1-like receptor-mediated vasoconstriction in human pulmonary artery. Br.J.Pharmacol. 119 277. PMID:8886409."	Small Molecule	Sold with the permission of GlaxoSmithKline	http://www.tocris.com/dispprod.php?ItemId=1749	SQ1341			Jul-1998
1057	WIN 64338 hydrochloride	[163727-74-0]	O=C(NC5=CC=C(C[P+](CCCC)(CCCC)CCCC)C=C5)[C@H](CC3=CC=C(C=CC=C4)C4=C3)NC(NC2CCCCC2)=NC1CCCCC1.Cl.[Cl-]	Bradykinin B2 antagonist	"The first potent, non-peptide, competitive bradykinin B2 receptor antagonist. In organ bath studies, WIN 64338 inhibits [3H]-bradykinin binding on guinea pig trachea with nanomolar affinity but is not active in the rabbit aorta (the classical bradykinin B1 preparation)."	"Marceau et al (1994) Effects of peptide and nonpeptide antagonists of bradykinin B2 receptors on the venoconstrictor action of bradykinin. J.Pharmacol.Exp.Ther. 269 1136. PMID:8014858. Scherrer et al (1995) Effects of WIN 64338, a nonpeptide bradykinin B2 receptor antagonist, on guinea-pig trachea. Br.J.Pharmacol. 115 1127. PMID:7582533. Hu et al (2004) Action of bradykinin in the submucosal plexus of guinea pig small intestine. J.Pharmacol.Exp.Ther. 309 320. PMID:14718600."	Small Molecule		http://www.tocris.com/dispprod.php?ItemId=1750				Jan-1998
1059	BW 723C86 hydrochloride	[160521-72-2]	Cl.CC(N)CC1=CNC2=CC=C(OCC3=CC=CS3)C=C12	5-HT2B agonist	Selective 5-HT2B receptor agonist.	"Kennett et al (1997) BW 723C86, a 5-HT2B receptor agonist, causes hyperphagia and reduced grooming in rats. Neuropharmacology 36 233. PMID:9144661. Duxon et al (1997) Activation of 5-HT2B receptors in the medial amygdala causes anxiolysis in the social interaction test in the rat. Neuropharmacology 36 601. PMID:9225285. Kennett et al (1998) Anxiolytic-like actions of BW 723C86 in the rat Vogel conflict test are 5-HT2B receptor mediated. Neuropharmacology 37 1603. PMID:9886683. Niebert et al (2011) Expression and function of serotonin 2A and 2B receptors in the mammalian respiratory network. PLoS One 6 e21395. PMID:21789169."	Small Molecule		http://www.tocris.com/dispprod.php?ItemId=1751	SQ1341			Jan-1998
1060	(S)-(-)-Pindolol	[26328-11-0]	CC(C)NC[C@H](O)COC1=C2C=CNC2=CC=C1	_3 partial agonist. More active enantiomer of pindolol (Cat. No. 0994)	"5-HT1A/1B receptor antagonist, with roughly equal affinity for each subtype. A partial agonist at mouse and human _3-adrenoceptors. More active enantiomer of pindolol (Cat. No. 0994)."	Walter et al (1984) Stimulant and blocking effects of optical isomers of pindolol on the sinoatrial node and trachea of guinea pig. Role of _-adrenoceptor subtypes in the dissociation between blockade and stimulation. Naunyn Schmiedebergs Arch.Pharmacol. 327 159. PMID:6092972. Kalkman (1989) _-Adrenoceptor blockade in rats enhances the ambulation induced by 5-HT1A receptor agonists. Eur.J.Pharmacol. 173 121. PMID:2576226. Corradetti et al (1998) Antagonist properties of (-)-pindolol and WAY 100635 at somatodendritic and postsynaptic 5-HT1A receptors in the rat brain. Br.J.Pharmacol. 123 449. PMID:9504386.	Small Molecule		http://www.tocris.com/dispprod.php?ItemId=1752	SQ1533			Feb-1998
1061	(-)-Quinpirole hydrochloride	[85798-08-9]	Cl.[H][C@]12CCCN(CCC)[C@]1([H])CC1=CNN=C1C2	Selective D2-like agonist	"Selective dopamine D2 receptor agonist (Ki values are 4.8, ~24, ~30 and 1900 nM at D2, D3, D4 and D1 receptors respectively)."	Seeman and Van Tol (1994) Dopamine receptor pharmacology. Trends Pharmacol.Sci. 15 264. PMID:7940991. Levant et al (1996) Modulation of [3H]quinpirole binding in brain by monoamine oxidase inhibitors: evidence for a potential novel binding site. J.Pharmacol.Exp.Ther. 278 145. PMID:8764345. Sullivan et al (1998) Effects of quinpirole on central dopamine systems in sensitized and non-sensitized rats. Neuroscience 83 781. PMID:9483561.	Small Molecule	Sold with the permission of Eli Lilly and Company	http://www.tocris.com/dispprod.php?ItemId=1039	SQ1533			Jul-1997
1062	2-Methylthioadenosine triphosphate tetrasodium salt	[100020-57-3]	NC1=C2C(N([C@@H]3O[C@H](COP(OP(OP([O-])([O-])=O)([O-])=O)([O-])=O)[C@@H](O)[C@H]3O)C=N2)=NC(SC)=N1.[Na+].[Na+].[Na+].[Na+]	P2 purinergic agonist	P2 purinoceptor agonist.	Cusack et al (1982) Specific but non-competitive inhibition by 2-alkylthioanalogues of adenosine 5'-monophosphate and adenosine 5'-triphosphate of human platelet aggregation induced by adenosine 5'-diphosphate. Br.J.Pharmacol. 75 397. PMID:7186826. Burnstock et al (1983) Studies on the stereoselectivity of the P2-purinoreceptor. Br.J.Pharmacol. 79 907. PMID:6317121. McMurray et al (1998) Purinoceptor subtypes mediating contraction and relaxation of marmoset urinary bladder smooth muscle. Br.J.Pharmacol. 123 1579. PMID:9605564. Khakh et al (2001) International Union of Pharmacology. XXIV. Current status of the nomenclature and properties of P2X receptors and their subunits. Pharmacol.Rev. 53 107. PMID:11171941.	Small Molecule		http://www.tocris.com/dispprod.php?ItemId=2215	SQ1341			Jul-1997
1063	CGS 21680 hydrochloride	[124431-80-7]	NC1=NC(NCCC4=CC=C(CCC(O)=O)C=C4)=NC2=C1N=CN2[C@@H]3O[C@H]([C@](NCC)=O)[C@@H](O)[C@H]3O.Cl	A2A agonist	A2A adenosine receptor agonist (Ki = 27 nM). Has affinity for A1 and A3 adenosine receptors but can be used to distinguish A2A- and A2B-mediated effects.	"Phillis et al (1990) The selective adenosine A2 receptor agonist, CGS 21680, is a potent depressant of cerebral cortical neuronal activity. Brain Res. 509 328. PMID:2322828. Nekooeian and Tabrizchi (1998) Effects of CGS 21680, a selective A2A adenosine receptor agonist, on cardiac output and vascular resistance in acute heart failure in the anaesthetized rat. Br.J.Pharmacol. 123 1666. PMID:9605574. Klot (2000) Adenosine receptors and their ligands. Naunyn Schmiedebergs Arch.Pharmacol. 362 382. PMID:11111832."	Small Molecule		http://www.tocris.com/dispprod.php?ItemId=2216	SQ1533			Jul-1997
1064	Methysergide maleate	[129-49-7]	OC(=O)\C=C/C(O)=O.[H][C@@]12CC3=CN(C)C4=CC=CC(=C34)C1=C[C@H](CN2C)C(=O)N[C@@H](CC)CO	5-HT1/5-HT2 antagonist	Mixed 5-HT1/5-HT2 receptor antagonist.	Merck Index 12 6217. Hoyer et al (1994) VII. International Union of Pharmacology classification of receptors for 5-hydroxytryptamine (serotonin). Pharmacol.Rev. 46 157. PMID:7938165.	Small Molecule		http://www.tocris.com/dispprod.php?ItemId=2214	SQ1533			Jul-1997
1065	PD 168077 maleate	[630117-19-0]	OC(=O)\C=C/C(O)=O.CC1=CC(=CC=C1)C(=O)NCN1CCN(CC1)C1=C(C=CC=C1)C#N	"High affinity, selective D4 agonist"	A potent D4 dopamine receptor agonist (Ki = 8.7 nM) with > 400-fold selectivity over D2 and > 300-fold selectivity versus D3 subtypes respectively. Induces synaptic translocation of CaMK II to postsynaptic sites in cultured prefrontal cortical neurons. Centrally active in vivo.	"Glase et al (1997) Substituted [(4-phenylpiperazinyl)methyl]benzamides: selective dopamine D4 agonists. J.Med.Chem. 40 1771. PMID:9191952. Clifford and Waddington (2000) Topographically based search for an ""Ethogram"" among a series of novel D4 dopamine receptor agonists and antagonists. Neuropsychopharmacology 22 538. PMID:10731629. Gu et al (2006) Activation of dopamine D4 receptors induces synaptic translocation of Ca2+/calmodulin-dependent protein kinase II in cultured prefrontal cortical neurons. Mol.Pharmacol. 69 813. PMID:16365279."	Small Molecule		http://www.tocris.com/dispprod.php?ItemId=1778	SQ1341			Sep-1997
1066	IB-MECA	[152918-18-8]	IC1=CC=CC(CNC2=NC=NC3=C2N=CN3[C@@H]4O[C@H]([C@@](NC)=O)[C@@H](O)[C@H]4O)=C1	A3 selective agonist	"Potent and selective A3 adenosine receptor agonist (Ki values are 1.1, 54 and 56 nM for A3, A1 and A2A receptors respectively). Cardioprotective, reduces infarct size upon reperfusion in rats."	Gallo-Rodriguez et al (1994) Structure-activity relationships of N6-benzyladenosine-5'-uronamides as A3-selective adenosine agonists. J.Med.Chem. 37 636. PMID:8126704. Klotz (2000) Adenosine receptors and their ligands. Naunyn Schmiedebergs Arch.Pharmacol. 362 382. PMID:11111832. Park et al (2006) N6-(3-iodobenzyl)-adenosine-5'-N-methylcarboxamide confers cardioprotection at reperfusion by inhibiting mitochondrial permeability transition pore opening via glycogen synthase kinase 3_. J.Pharmacol.Exp.Ther. 318 124. PMID:16611852.	Small Molecule	"Sold with the permission of the NIH, US Patent 08/091,109"	http://www.tocris.com/dispprod.php?ItemId=2217	SQ1070			Jul-1997
1067	Oxotremorine M	[3854-04-4]	O=C1N(CC#CC[N+](C)(C)C)CCC1.[I-]	Muscarinic agonist	Muscarinic receptor agonist.	"Birdsall et al (1978) The binding of agonists to brain muscarinic receptors. Mol.Pharmacol. 14 723. PMID:714021. Kukkonen et al (1996) Functional properties of muscarinic receptor subtypes Hm1, Hm3 and Hm5 expressed in Sf9 cells using the baculovirus expression system. J.Pharmacol.Exp.Ther. 279 593. PMID:8930161."	Small Molecule		http://www.tocris.com/dispprod.php?ItemId=1775	SQ1341			Aug-1997
1070	Zolantidine dimaleate	[104076-39-3]	OC(=O)\C=C/C(O)=O.OC(=O)\C=C/C(O)=O.C(CNC1=NC2=C(S1)C=CC=C2)COC1=CC(CN2CCCCC2)=CC=C1	"Potent, centrally active H2 antagonist"	"A potent, selective and brain penetrating H2 receptor antagonist."	Calcutt et al (1988) Zolantidine (SK&F 95282) is a potent selective brain penetrating histamine H2-receptor antagonist. Br.J.Pharmacol. 93 69. PMID:2894879. Coruzzi et al (1994) Activity of the new histamine H2-receptor antagonist zolantidine at cardiac and gastric H2 receptors. Pharmacology 48 69. PMID:7907797. Coruzzi et al (1996) Cardiac and gastric effects of histamine H2 receptor antagonists: no evidence for a correlation between lipophilicity and receptor affinity. Br.J.Pharmacol. 118 1813. PMID:8842448.	Small Molecule	Sold with the permission of GlaxoSmithKline	http://www.tocris.com/dispprod.php?ItemId=1856	SQ1533			Jan-1998
