Application Number	Trade Name	Sponsor Name
065-122	Tetracyn Ointment	Zoetis Inc.
065-123	Tetracycline Soluble Powder	Zoetis Inc.
065-124	Tetracycline	Zoetis Inc.
065-130	Crystalline Pro Penicillin G	Zoetis Inc.
065-140	"Tet-Sol¨ 10, Tet-Sol¨ 324"	Huvepharma EOOD
065-149	Chloromycetin Ophthalmic Ointment	Zoetis Inc.
065-150	Chloramphenicol Capsules	"Pharmaceutical Ventures, Ltd."
065-169	"Dura-biotic, Flo-cillin¨"	Zoetis Inc.
065-174	Crysticillin	Zoetis Inc.
065-178	Fermycinª Soluble	Phibro Animal Health Corp.
065-241	Mychel-Vet Capsules (50 mg)	Zoetis Inc.
065-252	STREP SOL¨	Huvepharma EOOD
065-256	CHLORTETª-SOLUBLE-O	Pharmgate LLC
065-269	Polyotic¨ 	Huvepharma EOOD
065-270	Polyotic¨ Oblets¨	Zoetis Inc.
065-275	Penicillin VK Filmtab 250 mg	"Merial, Inc."
065-276	Veesyn Granules for Oral Soln	"Merial, Inc."
065-280	Soluble Fortracin Concentrate	Zoetis Inc.
065-313	Baciferm¨ Soluble 50	Zoetis Inc.
065-383	"Formula A-34, Uni Biotic 4 Dose"	Bimeda Animal Health Limited
065-409	Panmycin¨ Capsules	Zoetis Inc.
065-410	Tetra-Sal¨	Zoetis Inc.
065-440	Chloronex¨ 	Huvepharma EOOD
065-441	Polyotic¨ Soluble Powder Concentrate	Zoetis Inc.
065-460	"Chloramphenicol 1% Ophthalmic, Vetrocloricin Ophthalmic Ointment"	"Dechra, Ltd."
065-461	Anacetin Tablets	Cronus Pharma Specialities India Private Limited
065-463	Mychel-Vet Injection	Zoetis Inc.
065-470	BMD¨ Soluble	Zoetis Inc.
065-476	Cortisporin Veterinary Ophthalmic Ointment	"Intervet, Inc."
065-480	Chlortetracycline hydrochloride soluble powder	Pharmgate LLC
065-481	"Calf Scour Boluses, Chlortetracycline Pneumonia"	Cronus Pharma Specialities India Private Limited
065-483	Pfizer-Strep	Zoetis Inc.
065-485	Neosporin Ophthalmic Ointment	"Intervet, Inc."
065-486	CTC Bisulfate Soluble Powder	Cronus Pharma Specialities India Private Limited
065-489	Mychel-Vet Tabs	Zoetis Inc.
065-491	Medichol Tablets	Cronus Pharma Specialities India Private Limited
065-492	"Biomox, Robamox¨-V Tablets"	"Virbac AH, Inc."
065-493	"Jetpen, Penicillin G Procaine Aqueous Suspension"	"Norbrook Laboratories, Ltd."
065-495	"Biomox¨, Robamox¨-V"	"Virbac AH, Inc."
065-496	TetraSureª 324	Phibro Animal Health Corp.
065-498	"Dual-Cillinª, Pen BP-48"	Huvepharma EOOD
065-500	Tandemª Pen	"Norbrook Laboratories, Ltd."
065-505	Pro-Pen-G¨	Bimeda Animal Health Limited
065-506	Combi-PEN-48¨	Bimeda Animal Health Limited
091-065	Robizone-V	Zoetis Inc.
091-067	"Equivet-14, Equizole¨-B"	"Farnam Companies, Inc."
091-127	Rachelle Oxyvet Injection	Zoetis Inc.
091-191	Garacin¨ 	"Intervet, Inc."
091-192	Renografin¨-76	Zoetis Inc.
091-240	Renovist	Zoetis Inc.
091-327	Gastrografin¨	Zoetis Inc.
091-467	"Stafac¨ 500, Stafac¨ 10, Stafac¨ 20, Stafac¨ 50"	Phibro Animal Health Corp.
091-534	Neo-Delta Cortef¨ Sterile Solution	Zoetis Inc.
091-603	"Ovaban¨ Tablets 20 mg, Ovaban¨ Tablets 5 mg"	"Intervet, Inc."
091-736	Telmin¨ Equine Wormer	"Intervet, Inc."
091-739	Strongid¨ T	Zoetis Inc.
091-749	"Tylan¨ 10 Sulfa-Gª, Tylan¨ 40 Sulfa-Gª"	Zoetis Inc.
091-818	"Phenylbutazone Tablets, USP 1 gram"	"Bayer HealthCare LLC, Animal Health Division"
091-826	Levasole¨ Cattle Wormer Bolus	"Intervet, Inc."
092-116	Ketaset¨ Plus	Zoetis Inc.
092-150	Purina¨ Horse & Colt Wormer	Bimeda Animal Health Limited
092-237	Ripercol L-Piperazine Soluble	Zoetis Inc.
092-286	"CLTC¨ 10, CLTC¨ 20, CLTC¨ 30, CLTC¨ 50, CLTC¨ 70"	Phibro Animal Health Corp.
092-287	"CLTC¨ 50 MR, CLTC¨ 100 MR"	Phibro Animal Health Corp.
092-444	Rumatel¨ 88	Phibro Animal Health Corp.
092-483	Halox Bolus	"Intervet, Inc."
092-507	Robenz¨ and Aureomycin¨	Zoetis Inc.
092-523	Garasol¨ Solution	"Intervet, Inc."
092-709	Sergeants¨ Worm Away For Dogs	SergeantÕs Pet Care Products Inc.
092-710	Sergeants¨ Worm Away For Cats	SergeantÕs Pet Care Products Inc.
092-835	Azium¨ Oral Solution 2 mg	"Intervet, Inc."
092-836	"Diethylcarbamazine Citrate Tab., Diro-Form"	"Lloyd, Inc."
092-837	Nemacide Oral Syrup	Cronus Pharma Specialities India Private Limited
092-955	Banminth¨ / Mecadox¨	Phibro Animal Health Corp.
093-105	Robizone-V	Zoetis Inc.
093-107	Albon¨ S.R. (Sustained Release)	Zoetis Inc.
093-329	"HavaSpan Prolonged Release Bolus, SulfaSpan Prolonged Release Bolus"	"Bayer HealthCare LLC, Animal Health Division"
093-483	Spectam¨ Injectable	"Bayer HealthCare LLC, Animal Health Division"
093-512	Dirocide Tablets	Zoetis Inc.
093-514	Neo-Cortef¨ Sterile Ointment	Zoetis Inc.
093-515	Spectam¨ Tablets	Bimeda Animal Health Limited
093-516	Bizolin Injection 20%	Cronus Pharma Specialities India Private Limited
093-600	Voren¨ Suspension	"Boehringer Ingelheim Vetmedica, Inc."
093-688	Ripercol L-Piperazine	Zoetis Inc.
093-903	Rumatel¨ Cattle Wormer Bolus	Zoetis Inc.
094-114	"Liquamycin¨ 100, Terramycin¨ 100"	Zoetis Inc.
094-170	"Phenylbutazone Tablets, USP 100 mg, Phenylbutazone Tablets, USP 200 mg"	Cronus Pharma Specialities India Private Limited
094-642	Camvet Suspension Horse Wormer	"Merial, Inc."
094-975	"Neo-Terramycin¨ 100/100, Neo-Terramycin¨ 100/100D, Neo-Terramycin¨ 50/50, Neo-Terramycin¨ 50/50D"	Phibro Animal Health Corp.
095-143	"Terramycin¨ 10, Terramycin¨ 30, Terramycin¨ 50, Terramycin¨ 100, Terramycin¨ 200, Terramycin¨ 200 Granular, Terramycin¨ 100MR"	Phibro Animal Health Corp.
095-183	Conofite¨ Cream 2%	"Intervet, Inc."
095-184	Conofite¨ Lotion 1%	"Intervet, Inc."
095-218	Dexiumª Tablets	Bimeda Animal Health Limited
095-333	"Difolin No. 1 Capsules, Difolin No. 2.5 Capsules, Difolin No. 25 Capsules, Difolin No. 40 Capsules, Difolin No. 5 Capsules"	Zoetis Inc.
095-543	"Amprol HI-E¨ & Bambermycins, Amprol HI-E¨ / Flavomycin¨"	Huvepharma EOOD
095-614	"Tribrissen¨ 120 Tablets, Tribrissen¨ 30 Tablets, Tribrissen¨ 480 Tablets, Tribrissen¨ 960 Tablets"	"Intervet, Inc."
095-641	Arquel Granules	Zoetis Inc.
095-642	"Bio-Mycin C, Oxy-Tetª Injection"	"Boehringer Ingelheim Vetmedica, Inc."
095-735	"Rumensin¨ 80, Rumensinª 90"	Elanco US Inc.
096-298	"Avatec¨, Bovatec¨ 150 FP, Bovatec¨ 68 Type A Medicated Article, Bovatec¨ 91, Bovatec¨ Liquid 20 (liquid Type A Article)"	Zoetis Inc.
096-506	Camvet Horse Wormer Pellets	"Merial, Inc."
096-509	NBC Kaps Wormer	Zoetis Inc.
096-671	Phen-Buta-Vet Injection	Bimeda Animal Health Limited
096-672	"Phen-Buta-Vet Tablets, Phenylbutazone S/A"	Bimeda Animal Health Limited
096-674	Equiproxen Granules	Zoetis Inc.
096-675	Equiproxen 10% Solution	Zoetis Inc.
096-676	Panolog¨ Cream	Zoetis Inc.
096-731	Camvet Horse Wormer Paste 45%	"Merial, Inc."
096-933	Robenz¨ Plus Zn Bacitracin	Zoetis Inc.
097-085	Bac MD / Robenz¨	Zoetis Inc.
097-221	Telmin¨ Syringe Formula	"Intervet, Inc."
097-222	"Cefa-Lak¨, Today¨"	"Boehringer Ingelheim Vetmedica, Inc."
097-288	Imizol¨ Equine Injection	"Intervet, Inc."
097-452	Oxyject¨ 100	Cronus Pharma Specialities India Private Limited
097-505	"LINCOMIX¨ 20, LINCOMIX¨ 50"	Zoetis Inc.
098-288	Prednis-A-Vet Injection	Bimeda Animal Health Limited
098-340	Flavomycin¨ / Monensin	Huvepharma EOOD
098-378	Nicarbazin / Bacitracin Premix	Phibro Animal Health Corp.
098-379	CYSTORELIN¨	"Merial, Inc."
098-431	"TYLANª 20, TYLANª 40"	Phibro Animal Health Corp.
098-452	Albac¨ 50 Type A Medicated Article	Zoetis Inc.
098-569	Medacide-SDM Injection 10%	Cronus Pharma Specialities India Private Limited
098-640	Robizone Injectable 20%	Zoetis Inc.
098-689	"Equizole¨ 50% Wormer Paste, Equizole¨ 50% Wormer Paste For Horses"	"Merial, Inc."
098-989	Gentocin¨ Ophthalmic Ointment	"Intervet, Inc."
099-006	Cobanª/TM¨	Phibro Animal Health Corp.
099-008	Gentocin¨ Ophthalmic Solution	"Intervet, Inc."
099-150	BMD¨ and Coyden 25¨	Huvepharma EOOD
099-169	Oxytocin (Label Under Distributors)	Bimeda Animal Health Limited
099-344	Osteum Solution 50 mg	Summit Hill Laboratories
099-388	Vetalog Oral Powder	"Boehringer Ingelheim Vetmedica, Inc."
099-402	"Aquachel-100, Oxyvet-100"	Zoetis Inc.
099-604	Dex-A-Vet Injection	Bimeda Animal Health Limited
099-605	Dex-A-Vet Injection	Bimeda Animal Health Limited
099-606	Dexameth-A-Vet Injection	Bimeda Animal Health Limited
099-607	Dexameth-A-Vet	Bimeda Animal Health Limited
099-618	Bizolin¨ 1-G	Cronus Pharma Specialities India Private Limited
099-667	Imposil	Ceva Sante Animale
100-094	PoultrySulfa¨	Huvepharma EOOD
100-202	Prostin F2 Alpha¨ Sterile Solution	Zoetis Inc.
100-237	"Nemex, Nemex-2, RFD Liquid Wormer"	Zoetis Inc.
100-254	Synchrocept Solution	Zoetis Inc.
100-402	Telmin¨ B Equine Wormer	"Intervet, Inc."
100-616	"Horseshoers Secret Thrush Treatment Aid, Thrush-XX"	"Farnam Companies, Inc."
100-703	Carbocaine¨-V Sterile Aqueous Solution	Zoetis Inc.
100-808	Albamast¨ Suspension	Zoetis Inc.
100-854	Fura Ointment	"Farnam Companies, Inc."
100-901	PfiChlor¨ 100S	Zoetis Inc.
100-929	Primor¨ Tablets	Zoetis Inc.
101-161	Thenatol PW Tablets	"Intervet, Inc."
101-331	Dog Wormer Tablets	"Farnam Companies, Inc."
101-479	"Banamine¨ , Banamine¨-S"	"Intervet, Inc."
101-629	Flavomycin¨ / Zoalene	Huvepharma EOOD
101-666	TM¨ plus Robenz¨	Phibro Animal Health Corp.
101-690	Erythro¨-100 Injection	Bimeda Animal Health Limited
101-777	Robinul¨-V Injectable	Zoetis Inc.
101-862	Garasol¨ Injection	"Intervet, Inc."
102-020	Tri-Plex Worm Capsules	"Intervet, Inc."
102-380	Lasix¨ Syrup 1%	"Intervet, Inc."
102-437	Tramisol¨ Injectable Solution	Zoetis Inc.
102-511	"Biodry¨ Suspension, Drygard¨ Suspension"	Zoetis Inc.
102-709	Cheque¨ Drops	Zoetis Inc.
102-987	Telmintic Powder	"Intervet, Inc."
102-990	Torbutrol¨ Injection	Zoetis Inc.
103-037	Garacin¨ Piglet Injection	"Intervet, Inc."
103-390	Torbutrol¨ Tablets	Zoetis Inc.
103-953	Trivermicide Worm Capsules	"Happy Jack, Inc."
104-184	Styquin	Zoetis Inc.
104-493	Filaribits¨ Chewable Tablets	Zoetis Inc.
104-494	Panacur¨ Suspension 10%	"Intervet, Inc."
104-646	Rumensinª and Tylanª	Elanco US Inc.
105-093	Tribrissen¨ 24% Injection	"Intervet, Inc."
106-111	Telazol¨	Zoetis Inc.
106-616	Banamine¨ Granules	"Intervet, Inc."
106-772	Uniferon¨ 100	"Pharmacosmos, Inc."
106-964	Apralanª	Elanco US Inc.
106-965	Tribrissen¨ 48% Injection	"Intervet, Inc."
107-085	Tramisol¨	Zoetis Inc.
107-189	Worm Capsules	"Farnam Companies, Inc."
107-345	"Cutter Paste, Rintal¨ Paste"	"Bayer HealthCare LLC, Animal Health Division"
107-346	Rintal¨ Suspension	"Bayer HealthCare LLC, Animal Health Division"
107-347	Cheque¨ Medicated Dog Food	Zoetis Inc.
107-506	Carbam¨ Tablets	Bimeda Animal Health Limited
107-996	Avatec¨ / Fortracin Premix	Zoetis Inc.
108-114	"Cefa-Dri¨, Tomorrow¨"	"Boehringer Ingelheim Vetmedica, Inc."
108-687	Pet Derm¨ III Tablets	"Kinetic Technologies, LLC"
108-901	Lutalyse¨ Injection	Zoetis Inc.
108-963	Medamycin¨ Injectable	Cronus Pharma Specialities India Private Limited
109-305	Oxytocin Injectable	Bimeda Animal Health Limited
109-471	Sweetlix Rumensin¨ Pressed Block	Ridley USA Inc.
109-722	Anthelcide EQ¨ Suspension	Zoetis Inc.
110-047	Tylanª and Banminth¨	Phibro Animal Health Corp.
110-048	Valbazen¨	Zoetis Inc.
110-201	Arquel Tablets	Zoetis Inc.
110-315	"Componentª E-C with Tylanª, Componentª E-S with Tylanª"	Elanco US Inc.
110-399	"Gleptosil, Heptomer Injection"	Ceva Sante Animale
110-776	Benzelmin¨ Powder For Suspension	Zoetis Inc.
110-777	Benzelmin¨ Top Dress.	Zoetis Inc.
111-104	Furall	"Farnam Companies, Inc."
111-278	Panacur¨ Granules 22.2%	"Intervet, Inc."
111-349	SE S2 Shampoo	"Intervet, Inc."
111-369	Dexamethasone Sterile Solution	"Kinetic Technologies, LLC"
111-529	Equimate¨	"Bayer HealthCare LLC, Animal Health Division"
111-607	Droncit¨ 5.68% Injectible Solution	"Bayer HealthCare LLC, Animal Health Division"
111-636	LINCOMIX¨ Soluble Powder	Zoetis Inc.
111-798	"Droncit¨ Canine Cestocide Tablets, Droncit¨ Canine Tablets (Rx), Droncit¨ Feline Cestocide Tablets, Praziquantel 34 (Rx), Tapeworm Dewormer for Cats (OTC), Tapeworm Dewormer for Dogs (OTC)"	"Bayer HealthCare LLC, Animal Health Division"
112-048	"Hylartin¨ V, Hylartin¨ V Injection"	Zoetis Inc.
112-049	Levasole¨ Soluble Pig Wormer	"Intervet, Inc."
112-050	Levasole	"Intervet, Inc."
112-051	"Levamisole Soluble Drench Powder, Levasole¨, Levasole¨ Soluble Drench Powder, Tramisol¨ Soluble Drench Powder"	"Intervet, Inc."
112-052	"Levasole¨ Sheep Wormer Bolus, Tramisole Sheep Wormer Oblets Tablets"	"Intervet, Inc."
113-231	Topagen¨ Ointment	"Intervet, Inc."
113-232	"Liquamycin¨ LA-200¨, Liquamycin¨ LA-200¨ (Rx)"	Zoetis Inc.
113-510	Equipalazone	"Vetoquinol N.-A., Inc."
113-645	Estrumate¨	"Intervet, Inc."
114-794	Baciferm¨ / Amprol HI-E¨ Premix	Zoetis Inc.
115-578	Di-Trim¨ Tablets	Zoetis Inc.
115-579	Dandrex	"Farnam Companies, Inc."
115-581	"Moormans¨ Mintrate Blonde Block, Moormans¨ Mintrate Red Block RU"	ADM Animal Nutrition
115-732	Stresnil Injection	Elanco US Inc.
116-044	LINCOMIX¨ and Banminth¨	Phibro Animal Health Corp.
116-087	"Butazolidin¨, Butazolidin¨ Paste, Bute, Phenylbuteª Paste, Phenylzone¨ Paste"	"Intervet, Inc."
116-089	Veltrim 1% Dermatologic Cream	"Bayer HealthCare LLC, Animal Health Division"
117-531	Acepromazine Maleate Injection	"Boehringer Ingelheim Vetmedica, Inc."
117-532	PromAce¨	"Boehringer Ingelheim Vetmedica, Inc."
117-689	Neurosyn Tablets	Cronus Pharma Specialities India Private Limited
118-032	Carbam¨ Palatabs¨	Bimeda Animal Health Limited
118-123	"Compudoseª 200, Encoreª (Compudose 400ª )"	Elanco US Inc.
118-394	Telmin¨	"Intervet, Inc."
118-509	"Pasture Gainer Block 20 R350, Pasture Gainer Block 20 R350 No SE, Pasture Gainer Block 37 R350, Pasture Gainer Block 37 R350 No SE"	Purina Animal Nutrition LLC
118-550	Furos-A-Vet	Bimeda Animal Health Limited
118-877	"Ban-A-Worm Py. Tartrate, Ban-A-Worm Pyrantel Tartrate Ton Pack"	ADM Animal Nutrition
118-979	Butatron Gel	Bimeda Animal Health Limited
118-980	Montebanª 45	Elanco US Inc.
119-141	Tranquazine Injection	Bimeda Animal Health Limited
119-142	PVL Iron Dextran Injectable	Huvepharma EOOD
119-253	Cattle Block M	Cooperative Research Farms
119-688	Cefa-Tabs¨	"Boehringer Ingelheim Vetmedica, Inc."
119-807	Beuthanasia-D Special	"Intervet, Inc."
120-161	Antirobe¨ Capsules	Zoetis Inc.
120-299	Mitaban¨ Liquid Concentrate	Zoetis Inc.
120-326	Filban Chewable Wafers	"Intervet, Inc."
120-615	Sustain III¨ Bolus	Bimeda Animal Health Limited
120-648	"Panacur¨ Paste, Safe-Guard¨"	"Intervet, Inc."
121-042	Anthelcide EQ¨ Paste	Zoetis Inc.
121-473	"Panacure¨-C (Rx), Panacur¨ Granules 22.2% (Rx), Safe-Guard¨ Canine (OTC)"	"Intervet, Inc."
121-553	Aureomycin¨ / Cobanª	Zoetis Inc.
122-271	Sulmet¨ Oblets	Huvepharma EOOD
122-272	Sulmet¨ Soluble Powder	Huvepharma EOOD
122-447	Fura-Septin Soluble Dressing	Bimeda Animal Health Limited
122-578	Hyvisc¨	Anika Therapeutics
123-815	Dexamethasone Sodium Phosphate Inj.	Cronus Pharma Specialities India Private Limited
124-241	PVL Oxytocin Injectable	Bimeda Animal Health Limited
124-309	"MGA¨ 100-200 / Rumensin¨, MGA¨ 100-200 Premix / Rumensin¨"	Zoetis Inc.
124-842	Filban Tablets	"Intervet, Inc."
125-476	MGA¨ 500 plus Rumensin¨	Zoetis Inc.
125-730	Purina¨ Liquid Dog Wormer	"Farnam Companies, Inc."
125-797	Nitrofurazone Dressing	Cronus Pharma Specialities India Private Limited
125-933	Romet¨-30	Pharmaq AS
125-961	"Re-Sorb, Vytrate"	Zoetis Inc.
126-050	Apralan¨ 75	Elanco US Inc.
126-232	Calfspanª	Zoetis Inc.
126-236	Nitrofurazone Soluble Powder	Cronus Pharma Specialities India Private Limited
126-237	Tramisol¨ Gel	Zoetis Inc.
126-504	Nitrofurazone Ointment	Bimeda Animal Health Limited
126-676	D & T Worm Capsules	Cronus Pharma Specialities India Private Limited
126-742	Levasole¨ Injectable Solution	"Intervet, Inc."
127-034	Disal¨ Injection	"Boehringer Ingelheim Vetmedica, Inc."
127-443	Eqvalan¨ Injection	"Merial, Inc."
127-627	"Nemacide, Nemacide-C"	Cronus Pharma Specialities India Private Limited
127-892	Amiglyde-V	Zoetis Inc.
128-069	Nemacide Chewable Tablets	Cronus Pharma Specialities India Private Limited
128-070	Valbazen¨	Zoetis Inc.
128-089	Zonometh Solution	"Bayer HealthCare LLC, Animal Health Division"
128-409	"Ivomec¨ .27% Injection Grower And Feeder Pigs, Ivomec¨ 1% Injection, Ivomec¨ 1% Injection for Cattle And Swine, Ivomec¨ Injection for Cattle"	"Merial, Inc."
128-517	Pet-Dec	Zoetis Inc.
128-549	Bovilene	Zoetis Inc.
128-620	"Panacur¨ (Rx), Panacur¨ 10% Suspension (Rx), Safe-Guard¨ Suspension 10% (OTC)"	"Intervet, Inc."
128-686	Bio-Cox¨ Type A Medicated Article	Huvepharma EOOD
128-967	Repose Euthanasia Solution	Zoetis Inc.
129-034	Disal¨	"Boehringer Ingelheim Vetmedica, Inc."
129-831	"Banminth¨-P Paste, Strongid¨ Paste"	Zoetis Inc.
130-136	Oxytocin Injection	Bimeda Animal Health Limited
130-185	Flavomycin¨ and Amprol¨/ Amprol 25%¨ and Flavomycin¨	Huvepharma EOOD
130-435	"OXYMarineª, Oxytet¨ Soluble"	Huvepharma EOOD
130-464	Gentocin¨ (Garacin) Pig Pump Oral Solution	"Intervet, Inc."
130-660	Dexachel	Zoetis Inc.
130-736	Cobanª	Elanco US Inc.
130-872	Nitrofurazone Anesthetic Dress.	"Med-Pharmex, Inc."
130-951	Stenorol¨	Huvepharma EOOD
130-952	Gentocin¨ Pink Eye Spray	"Intervet, Inc."
131-310	Regu-Mate¨	"Intervet, Inc."
131-392	Ivomec¨ Liquid	"Merial, Inc."
131-538	Disal¨	"Boehringer Ingelheim Vetmedica, Inc."
131-675	Safe-Guard¨	"Intervet, Inc."
131-808	Dirocide Syrup	Zoetis Inc.
131-918	Tribrissen¨ 400 Oral Paste	"Intervet, Inc."
132-028	Anestatalª	Cronus Pharma Specialities India Private Limited
132-105	"Benzelmin¨ Equine Anthelmic Paste, Synanthic¨ Oral Paste"	Zoetis Inc.
132-336	Proban¨ Oral Liquid	"Bayer HealthCare LLC, Animal Health Division"
132-337	Proban¨ Tablets	"Bayer HealthCare LLC, Animal Health Division"
132-338	Gentocin¨ Topical Spray	"Intervet, Inc."
132-427	Fura-Zone	"Squire Laboratories, Inc."
132-448	Flavomycin¨	ADM Animal Nutrition
132-486	Di-Trim¨ 24%	Zoetis Inc.
132-533	Styquin Parenteral 1.1%	"Bayer HealthCare LLC, Animal Health Division"
132-789	Pro-Spot Solution	"Bayer HealthCare LLC, Animal Health Division"
132-872	"Panacur¨ 10% Paste, Safe-Guard¨ 10% Paste"	"Intervet, Inc."
133-836	Garacin¨ Soluble Powder	"Intervet, Inc."
133-841	"Benzelmin¨ Equine Anthelmintic Suspension, Synanthic¨ Suspension"	Zoetis Inc.
133-953	Vercom Paste Anthelmintic	"Bayer HealthCare LLC, Animal Health Division"
134-284	Bio-Cox¨ / Flavomycin¨	Huvepharma EOOD
134-314	EQVALAN¨	"Merial, Inc."
134-644	Denagard¨ Soluble Antibiotic	Elanco US Inc.
134-645	Tiox Granules	"Intervet, Inc."
134-708	Uniferon¨ 200	"Pharmacosmos, Inc."
134-778	Di-Trim¨ 48% Injection	Zoetis Inc.
134-779	Paratect Flexª	Zoetis Inc.
134-830	Albac¨ / Coban¨	Zoetis Inc.
134-930	Syncro-Mate-B¨	"Merial, Inc."
135-468	"Carbigran 25, Nicarbazin"	Elanco US Inc.
135-544	Winstrol-V¨ Chewable Tablets	Zoetis Inc.
135-746	Bio-Cox¨ / BMD¨	Zoetis Inc.
135-771	Methylprednisolene Tablets	Cronus Pharma Specialities India Private Limited
135-780	Torbugesic¨	Zoetis Inc.
135-906	Componentª E-H with Tylanª	Elanco US Inc.
135-940	Antirobe Aquadrops¨	Zoetis Inc.
136-212	Methylprednisolone Acetate Inj.	Cronus Pharma Specialities India Private Limited
136-214	Enproal Bloat Blox	Ridley USA Inc.
136-342	Di-Trim¨ 400 Paste	Zoetis Inc.
136-383	Adequan¨ Injectable	"Luitpold Pharmaceuticals, Inc."
136-483	Filaribits¨ Plus Chewable Tablets	Zoetis Inc.
136-651	Guailaxin	Zoetis Inc.
136-740	Benzelmin¨ Plus Paste	Zoetis Inc.
136-741	Tribrissen¨ 60 Oral Suspension	"Intervet, Inc."
136-742	"Curatrem¨ Drench, Curatrem¨ Drench For Cattle"	"Merial, Inc."
137-006	Ivomec¨ Cattle Paste 0.153%	"Merial, Inc."
137-310	Gentamicin Sulfate Inj. Sol.	Cronus Pharma Specialities India Private Limited
137-409	Banamine¨ Paste	"Intervet, Inc."
137-483	Flavomycin¨ / Stenorol¨	Huvepharma EOOD
137-600	Safe-Guard¨ Type A Medicated Article	"Intervet, Inc."
137-687	Formalin-F	Natchez Animal Supply Co.
137-694	Vetalog¨	"Boehringer Ingelheim Vetmedica, Inc."
138-255	Iron Hydrogenated Dextran Injection	"Sparhawk Laboratories, Inc."
138-405	Pyrilamine Maleate Injection	Bimeda Animal Health Limited
138-412	"Heartgard 30¨, Heartgard¨ Tablets"	"Merial, Inc."
138-456	Coban¨ / BMD¨	Zoetis Inc.
138-612	"Finaplix¨-H, Finaplix¨-S"	"Intervet, Inc."
138-657	Nitrofurazone Ointment	"Sparhawk Laboratories, Inc."
138-869	Triamcinolone Acetonide Suspension	Cronus Pharma Specialities India Private Limited
138-870	MGA¨ and Rumensinª and Tylanª	Zoetis Inc.
138-902	"Tiox Paste, Tioxidazole Paste"	"Intervet, Inc."
138-903	Porcilene¨ Solution	Zoetis Inc.
138-934	Pennchlor S 40/40¨	Pharmgate LLC
138-935	"Pennchlor¨ 50ª, Pennchlor 50 G¨, Pennchlor¨ 90 Gª, Pennchlor¨ 100 Gª, Pennchlor¨ 100 Hi-Floª"	Pharmgate LLC
138-938	"Pennox 50¨, Pennox 100-MR¨, Pennox 100 Hi-Flo¨, Pennox 200 Hi-Flo¨"	Pharmgate LLC
138-939	"Neo-Oxy 100/100 MR¨, Neo-Oxy 50/50¨"	Pharmgate LLC
138-941	LINCOMIX¨ and Banminth¨	Zoetis Inc.
138-952	Maxibanª 72	Elanco US Inc.
138-954	Telmin¨ B Paste	"Intervet, Inc."
138-955	Tylosin¨ Injection	Huvepharma EOOD
138-992	MGA¨ and Bovatec¨ and Tylanª	Zoetis Inc.
138-993	Moormans¨ Cattle Minerals BT	ADM Animal Nutrition
138-995	MGA¨ and Tylanª	Zoetis Inc.
139-075	Cygro¨	Zoetis Inc.
139-189	Safe-Guard¨ Enproal Feedblocks	"Intervet, Inc."
139-191	"Adamsª, D-Wormª, Dog Wormer Chewable Tablets"	"Farnam Companies, Inc."
139-192	MGA¨ and Tylanª	Zoetis Inc.
139-235	Baciferm¨ / Bio-Cox¨	Zoetis Inc.
139-236	Anased¨	"Akorn Animal Health, Inc."
139-237	"Factrel¨, Factrel¨ Injection"	Zoetis Inc.
139-472	"Denagardª, Denagardª 10, Denagardª 5"	Elanco US Inc.
139-858	Tramisol¨-X-Tra Cattle Anthelmintic and Extoparasitic Paste	"Intervet, Inc."
139-876	"Bovatec¨ / MGA¨ 100, Bovatec¨ / MGA¨ 200"	Zoetis Inc.
139-877	Totalonª Topical Cattle Anthelmintic	"Intervet, Inc."
139-879	"Carnidazole, Spartrix¨"	"Wildlife Laboratories, Inc."
139-913	Equron¨	Zoetis Inc.
140-269	Ketofen¨	Zoetis Inc.
140-270	Sulfamethazine Sustained Release Bolus	Huvepharma EOOD
140-288	Bovatec¨ / MGA¨ 500	Zoetis Inc.
140-338	Naxcel¨ Sterile Powder	Zoetis Inc.
140-339	Nicarbazin (NICARB¨) plus Bambermycins (FLAVOMYCIN¨)	Huvepharma EOOD
140-439	Eqvalan¨ Oral Liquid For Horses	"Merial, Inc."
140-441	"Baytril¨ Antibacterial Tablets, Baytril¨ Taste Tabsª Antibacterial Tablets"	"Bayer HealthCare LLC, Animal Health Division"
140-442	Xylazine HCl Injection	Cronus Pharma Specialities India Private Limited
140-448	TM¨ plus Bio-Cox¨	Phibro Animal Health Corp.
140-474	Synacidª	"Intervet, Inc."
140-578	SOLU-TETª	Zoetis Inc.
140-579	BOVATEC¨ and TM¨	Zoetis Inc.
140-582	Oxytetracycline Hydrochloride Injection	Bimeda Animal Health Limited
140-583	ACTH Gel	Bimeda Animal Health Limited
140-584	BMD / Stenorol¨	Huvepharma EOOD
140-684	Cefa-Drops¨	"Boehringer Ingelheim Vetmedica, Inc."
140-806	Hyalovet¨	"Boehringer Ingelheim Vetmedica, Inc."
140-810	DERMA-VET¨ Ointment	"Med-Pharmex, Inc."
140-818	Producil¨ For Swine	"Merial, Inc."
140-819	Strongid¨ 48	Zoetis Inc.
140-824	Stenorol¨ Type A Medicated Article	Huvepharma EOOD
140-833	Ivomec¨ Plus Injection For Cattle	"Merial, Inc."
140-839	Bactoderm¨ Ointment	Zoetis Inc.
140-841	Ivomec¨ Pour-On	"Merial, Inc."
140-844	Tramisol¨ Pour-On	Zoetis Inc.
