Application Number	Date Withdrawn	Ingredients	Sponsor When Withdrawn
105-758	03/10/2014	"Amprolium, Bacitracin Zinc, Ethopabate, Roxarsone"	Zoetis Inc.
107-002	03/14/2011	"Sulfamethazine, Tylosin Phosphate"	"Truow Nutrition, Inc."
107-397	08/19/1991	Primidone	"Bolar Pharmaceutical Co., Inc."
107-957	02/13/2012	"Sulfamethazine, Tylosin Phosphate"	"ADM Alliance Nutrition, Inc."
107-958	06/11/1992	Tylosin Phosphate	"ADM Alliance Nutrition, Inc."
107-997	03/10/2014	"Lincomycin Hydrochloride, Nicarbazin, Roxarsone"	Phibro Animal Health Corp.
108-115	03/10/2014	"Nicarbazin, Roxarsone"	Phibro Animal Health Corp.
108-116	03/02/2018	"Lincomycin Hydrochloride, Nicarbazin"	Phibro Animal Health Corp.
108-484	04/21/2014	"Sulfamethazine, Tylosin Phosphate"	"ADM Alliance Nutrition, Inc."
108-487	04/11/2011	Diethylcarbamazine Citrate	"Wendt Laboratories, Inc."
108-863	04/11/2011	Diethylcarbamazine Citrate	"Wendt Laboratories, Inc."
109-635	12/22/1989	Hygromycin B	"Triple ""F"", Inc."
109-688	04/04/2008	Hygromycin B	"International Nutrition, Inc."
109-816	04/04/2008	"Sulfamethazine, Tylosin Phosphate"	"International Nutrition, Inc."
110-045	07/01/2016	Tylosin Phosphate	"ADM Alliance Nutrition, Inc."
110-046	12/22/1995	Dexamethasone Sodium Phosphate	"Akorn, Inc."
110-349	05/14/2001	Dexamethasone Sodium Phosphate	"Watson Laboratories, Inc."
110-350	05/14/2001	Dexamethasone	"Watson Laboratories, Inc."
110-439	04/21/2014	Hygromycin B	"ADM Alliance Nutrition, Inc."
110-440	05/14/2001	Hygromycin B	"Quali-Tech Products, Inc."
111-068	01/13/1994	Pregelatinized Starch	"Shulcon Industries, Inc."
111-069	02/13/2012	"Sulfamethazine, Tylosin Phosphate"	"ADM Alliance Nutrition, Inc."
111-637	08/13/2001	Tylosin Phosphate	"Alpharma, LLC, a wholly owned subsidiary of Pfizer, Inc."
111-814	08/06/1990	Tylosin Phosphate	Kay Dee Feed Co.
112-661	03/10/2014	"Lasalocid, Lincomycin Hydrochloride, Roxarsone"	Zoetis Inc.
112-687	03/10/2014	"Bambermycins, Lasalocid, Roxarsone"	Zoetis Inc.
113-748	11/02/2018	Iron Dextran Complex	"Virbac AH, Inc."
115-580	07/31/1995	Piperazine Adipate	"Happy Jack, Inc."
116-082	03/10/2014	"Bacitracin methylenedisalicylate, Lasalocid, Roxarsone"	Zoetis Inc.
116-088	03/10/2014	"Bacitracin methylenedisalicylate, Monensin Sodium, Roxarsone"	Zoetis Inc.
116-196	05/14/2001	Tylosin Phosphate	"Webel Feeds, Inc."
117-973	05/14/2001	Prednisolone Sodium Succinate	"Watson Laboratories, Inc."
118-506	08/19/1991	Nitrofurazone	"Merial, Inc."
118-507	03/10/2014	"Amprolium, Carbarsone"	Huvepharma EOOD
118-508	12/12/1988	Piperazine Adipate	"Carson Chemicals, Inc."
118-814	04/21/2014	Pyrantel Tartrate	"Provimi North America, Inc."
118-815	09/03/2013	Pyrantel Tartrate	"Quali-Tech Products, Inc."
118-874	04/02/1997	Pyrantel Tartrate	Henwood Feed Additives
118-875	03/18/1991	Pyrantel Tartrate	Dale Alley Co.
119-062	03/14/2011	Pyrantel Tartrate	"Triple ""F"", Inc."
119-063	12/15/2005	Pyrantel Tartrate	"Bioproducts, Inc."
119-261	07/06/1990	Tylosin Phosphate	"Old Monroe Elevator & Supply Co., Inc."
119-823	02/23/1998	Monensin Sodium	"Elanco Animal Health, A Division of Eli Lilly & Co."
119-844	11/28/1994	"Dichlorophene, Toluene"	"Pharmacaps, Inc."
119-974	08/19/1991	Nitrofurazone	"Merial, Inc."
120-327	07/15/1996	Diethylcarbamazine Citrate	"Bayer HealthCare LLC, Animal Health Division"
120-646	03/18/1991	Selenium Disulfide	National Pharmaceutical Mfg. Co.
120-670	07/15/1996	"Diethylcarbamazine Citrate, Styrylpyridinium Chloride"	"Bayer HealthCare LLC, Animal Health Division"
120-724	03/10/2014	"Monensin Sodium, Roxarsone, Virginiamycin"	Phibro Animal Health Corp.
121-200	04/30/2007	Tylosin Phosphate	Custom Feed Services Corp.
121-290	05/14/1990	Tylosin Phosphate	"Tyson Food, Inc."
121-291	07/15/1996	Enflurane	Baxter Healthcare Corp.
121-337	09/24/2010	Pyrantel Tartrate	"International Nutrition, Inc."
121-556	09/06/2005	Selenium Disulfide	"Happy Jack, Inc."
121-557	04/25/2005	"Dichlorophene, Toluene"	Natchez Animal Supply Co.
121-559	11/03/1994	Nitrofurazone	"Sparhawk Laboratories, Inc."
121-723	09/06/2005	Nitrofurazone	"Happy Jack, Inc."
121-813	07/15/1996	"Diethylcarbamazine Citrate, Styrylpyridinium Chloride"	"Bayer HealthCare LLC, Animal Health Division"
122-158	07/08/1994	Tylosin Phosphate	Nutra-Blend Corp.
122-481	02/27/2017	"Monensin Sodium, Virginiamycin"	Phibro Animal Health Corp.
122-608	02/27/2017	"Lasalocid, Virginiamycin"	Phibro Animal Health Corp.
122-822	02/27/2017	"Amprolium, Ethopabate, Virginiamycin"	Phibro Animal Health Corp.
123-000	03/14/2011	Pyrantel Tartrate	"Truow Nutrition, Inc."
123-116	09/03/2013	Diethylcarbamazine Citrate	R.P. Scherer North America
123-154	03/10/2014	"Bacitracin Zinc, Monensin Sodium, Roxarsone"	Zoetis Inc.
125-137	09/06/2005	Diethylcarbamazine Citrate	"Happy Jack, Inc."
125-226	11/29/1996	Tylosin Phosphate	Indiana Farm Bureau Coop. Assn.
125-329	08/19/1991	Furosemide	"Bolar Pharmaceutical Co., Inc."
126-023	11/03/1994	Nitrofurazone	Fermenta Animal Health Co.
126-052	03/10/2014	"Bacitracin Zinc, Lasalocid, Roxarsone"	Zoetis Inc.
126-455	08/27/1990	Lactic Acid	"Boehringer Ingelheim Vetmedica, Inc."
126-950	11/03/1994	Nitrofurazone	"Med-Pharmex, Inc."
127-506	07/23/2001	"Sulfamethazine, Tylosin Phosphate"	"Heinold Feeds, Inc."
127-507	09/08/2016	"Sulfamethazine, Tylosin Phosphate"	"Elanco US, Inc."
127-508	04/21/2014	Hygromycin B	"Provimi North America, Inc."
127-825	04/02/1997	Hygromycin B	"ADM Alliance Nutrition, Inc."
127-826	04/02/1997	"Sulfamethazine, Tylosin Phosphate"	"ADM Alliance Nutrition, Inc."
128-255	08/06/1990	"Sulfamethazine, Tylosin Phosphate"	Kay Dee Feed Co.
128-411	04/21/2014	"Sulfamethazine, Tylosin Phosphate"	"ADM Alliance Nutrition, Inc."
128-550	08/28/2007	Bacitracin Zinc	Pennfield Oil Co.
128-834	07/06/1990	Hygromycin B	"Old Monroe Elevator & Supply Co., Inc."
128-835	07/06/1990	"Sulfamethazine, Tylosin Phosphate"	"Old Monroe Elevator & Supply Co., Inc."
129-158	04/07/1989	Hygromycin B	Custom Feed Services Corp.
129-159	04/30/2007	"Sulfamethazine, Tylosin Phosphate"	Custom Feed Services Corp.
129-160	11/28/1994	Hygromycin B	Nutra-Blend Corp.
129-161	12/16/2005	"Sulfamethazine, Tylosin Phosphate"	Nutra-Blend Corp.
129-395	12/16/2005	Hygromycin B	"I.M.S., Inc."
129-646	12/16/2005	"Sulfamethazine, Tylosin Phosphate"	"I.M.S., Inc."
130-465	10/18/1991	"Sulfamethazine, Tylosin Phosphate"	"Growmark, Inc."
130-466	05/02/1991	Hygromycin B	"Growmark, Inc."
130-661	03/10/2014	"Bambermycins, Carbarsone"	Huvepharma EOOD
131-146	12/16/2005	Bambermycins	"Triple ""F"", Inc."
131-412	07/08/1994	"Febantel, Trichlorfon"	"Bayer HealthCare LLC, Animal Health Division"
131-413	04/21/2014	Bambermycins	"Provimi North America, Inc."
131-537	05/11/1989	Tylosin Phosphate	"Gossett Nutrition, Inc."
131-806	09/06/2005	Furosemide	"Teva Animal Health, Inc."
131-894	03/10/2014	"Bacitracin methylenedisalicylate, Lasalocid, Roxarsone"	Zoetis Inc.
131-956	02/13/2012	"Sulfamethazine, Tylosin"	"ADM Alliance Nutrition, Inc."
131-957	02/13/2012	Tylosin Phosphate	"ADM Alliance Nutrition, Inc."
131-958	04/21/2014	"Sulfamethazine, Tylosin Phosphate"	"Wayne Feed Division, Continental Grain Co."
132-080	06/11/1992	Bambermycins	"Growmark, Inc."
132-136	04/21/2014	Pyrantel Tartrate	"Wayne Feed Division, Continental Grain Co."
132-137	02/18/1994	Nitrofurazone	"Merial, Inc."
132-447	03/10/2014	"Roxarsone, Salinomycin Sodium"	Zoetis Inc.
132-574	04/21/2014	Lincomycin Hydrochloride Monohydrate	"Virbac AH, Inc."
132-657	10/18/1991	Lincomycin Hydrochloride	"North American Nutrition Companies, Inc."
132-658	10/15/1991	Lincomycin Hydrochloride	"Triple ""F"", Inc."
132-659	10/07/1991	Lincomycin Hydrochloride	"Bioproducts, Inc."
132-660	10/18/1991	Lincomycin Hydrochloride	"Feed Specialties Co., Inc."
132-705	09/03/2013	Bambermycins	"Quali-Tech Products, Inc."
132-923	09/24/2010	Lincomycin Hydrochloride	"International Nutrition, Inc."
132-925	12/24/1991	Lincomycin Hydrochloride	"Quali-Tech Products, Inc."
133-034	10/07/1991	Lincomycin Hydrochloride	"I.M.S., Inc."
133-035	01/03/1992	Lincomycin Hydrochloride	"Ag-Mark, Inc."
133-333	04/21/2014	Virginiamycin	"Provimi North America, Inc."
133-334	10/13/2017	Virginiamycin	Zoetis Inc.
133-335	09/03/2013	Virginiamycin	"Quali-Tech Products, Inc."
133-361	02/27/1995	Virginiamycin	"Feed Specialties Co., Inc."
133-490	02/13/2012	Pyrantel Tartrate	"ADM Alliance Nutrition, Inc."
133-508	10/15/1991	Lincomycin Hydrochloride	"ADM Alliance Nutrition, Inc."
133-509	07/15/1996	Pyrantel Tartrate	Hubbard Milling Co.
133-832	10/18/1991	Lincomycin Hydrochloride	"Growmark, Inc."
133-833	03/14/2011	Tylosin Phosphate	"Truow Nutrition, Inc."
133-839	02/27/1995	Virginiamycin	"MAC-PAGE, Inc."
134-185	03/10/2014	"Bambermycins, Roxarsone, Salinomycin Sodium"	Zoetis Inc.
134-286	08/06/1990	Pyrantel Tartrate	"Good-Life, Div.Central Soya Co., Inc."
134-701	10/18/1991	Lincomycin Hydrochloride	"MAC-PAGE, Inc."
135-243	03/14/2011	Pyrantel Tartrate	"Truow Nutrition, Inc."
135-299	08/19/1991	Acepromazine Maleate	"Bolar Pharmaceutical Co., Inc."
135-321	03/10/2014	"Bacitracin methylenedisalicylate, Roxarsone, Salinomycin Sodium"	Zoetis Inc.
135-773	04/04/2017	Isoflurane	Baxter Healthcare Corp.
135-941	11/02/2018	Pyrantel Tartrate	"Virbac AH, Inc."
136-116	11/02/2018	Fenbendazole	"Virbac AH, Inc."
136-369	12/16/2005	Pyrantel Tartrate	"South St. Paul Feeds, Inc."
136-384	12/16/2005	Pyrantel Tartrate	Nutra-Blend Corp.
136-484	03/10/2014	"Bacitracin Zinc, Carbarsone"	Zoetis Inc.
136-601	12/15/2005	Pyrantel Tartrate	"I.M.S., Inc."
137-051	10/09/1990	Tylosin Phosphate	Ohio Farmers Grain and Supply Association
137-138	02/12/1998	Pyrantel Tartrate	"Mountaire Feeds, Inc."
137-484	04/30/2007	Pyrantel Tartrate	Custom Feed Services Corp.
137-536	03/10/2014	"Bacitracin Zinc, Roxarsone, Salinomycin Sodium"	Zoetis Inc.
137-537	02/27/2017	"Lincomycin, Salinomycin Sodium"	Zoetis Inc.
138-187	04/21/2014	Tylosin Phosphate	"Micro Beef Technologies, Inc."
138-342	09/24/2010	"Sulfamethazine, Tylosin Phosphate"	"Feed Service Co., Inc."
138-343	02/06/1989	"Sulfamethazine, Tylosin Phosphate"	Ohio Farmers Grain and Supply Association
138-453	10/09/1990	"Sulfamethazine, Tylosin Phosphate"	"Southern Micro-Blenders, Inc."
138-454	05/06/1991	"Sulfamethazine, Tylosin Phosphate"	J & R Specialty Supply Co.
138-455	02/18/1994	Nitrofurazone	"Squire Laboratories, Inc."
138-656	12/15/2005	Pyrantel Tartrate	"Farmland Industries, Inc."
138-703	03/10/2014	"Bacitracin Zinc, Monensin Sodium, Roxarsone"	Zoetis Inc.
138-792	02/27/2017	"Melengestrol Acetate, Monensin Sodium, Tylosin Phosphate"	Zoetis Inc.
138-828	02/27/2017	"Salinomycin Sodium, Virginiamycin"	Phibro Animal Health Corp.
138-900	09/06/2005	"Dichlorophene, Toluene"	IMPAX Laboratories
138-904	02/27/2017	"Lasalocid, Melengestrol Acetate, Tylosin Phosphate"	Zoetis Inc.
138-940	02/06/1989	Pyrantel Tartrate	Ohio Farmers Grain and Supply Association
138-953	03/10/2014	"Roxarsone, Salinomycin Sodium, Virginiamycin"	Phibro Animal Health Corp.
139-190	03/10/2014	"Bacitracin Zinc, Roxarsone, Salinomycin Sodium"	Zoetis Inc.
139-239	02/12/1998	Pyrantel Tartrate	"Growmark, Inc."
139-301	05/02/1991	"Sulfamethazine, Tylosin Phosphate"	Walnut Grove Products
139-473	03/02/2018	"Halofuginone Hydrobromide, Virginiamycin"	Huvepharma EOOD
139-600	10/09/1990	Tylosin Phosphate	"Arkansas Micro Specialties, Inc."
139-601	10/09/1990	"Sulfamethazine, Tylosin Phosphate"	"Arkansas Micro Specialties, Inc."
139-633	07/25/2018	Carfentanil Citrate	"Wildlife Laboratories, Inc."
140-340	03/02/2018	"Halofuginone Hydrobromide, Lincomycin Hydrochloride"	Huvepharma EOOD
140-443	10/13/2017	Hygromycin B	Zoetis Inc.
140-445	03/10/2014	"Narasin, Roxarsone"	"Elanco Animal Health, A Division of Eli Lilly & Co."
140-530	03/18/1991	"Sulfamethazine, Tylosin"	Agri-Basics
140-531	03/18/1991	Tylosin	Agri-Basics
140-533	03/10/2014	"Bacitracin methylenedisalicylate, Halofuginone Hydrobromide, Roxarsone"	Huvepharma EOOD
140-581	03/10/2014	"Lincomycin Hydrochloride, Roxarsone, Salinomycin Sodium"	Zoetis Inc.
140-680	12/21/2015	Tylosin Phosphate	Pharmgate LLC
140-681	12/21/2015	"Sulfamethazine, Tylosin Phosphate"	Pharmgate LLC
140-820	04/11/2011	"Sulfamethazine, Tylosin Phosphate"	Furst-McNess Co.
140-821	12/31/1990	"Maduramicin Ammonium, Roxarsone"	"American Cyanamid, Division AHP Corp."
140-823	12/31/1990	"Bacitracin methylenedisalicylate, Maduramicin Ammonium"	"American Cyanamid, Division AHP Corp."
140-825	04/11/2011	Pyrantel Tartrate	Furst-McNess Co.
140-831	01/27/2014	Formalin	Argent Laboratories
140-837	02/18/1994	"Chlortetracycline Calcium Complex, Maduramicin Ammonium"	"American Cyanamid, Division AHP Corp."
140-842	02/13/2012	Hygromycin B	"ADM Alliance Nutrition, Inc."
140-843	03/10/2014	"Bambermycins, Narasin, Roxarsone"	Huvepharma EOOD
140-848	09/06/2005	Diazepam	"Roche Vitamins, Inc."
140-852	03/10/2014	"Bacitracin methylenedisalicylate, Narasin, Roxarsone"	Zoetis Inc.
140-867	03/10/2014	"Chlortetracycline Calcium Complex, Roxarsone, Salinomycin Sodium"	Zoetis Inc.
140-869	11/02/2018	Poloxalene	"Virbac AH, Inc."
140-889	09/06/2005	"Neomycin Sulfate, Nystatin, Thiostrepton, Triamcinolone Acetonide"	"Biocraft Laboratories, Inc."
140-904	12/22/1995	Copper Disodium Edetate	"Veterinary Research & Development, Inc."
140-910	04/11/2011	Nitrofurazone	"Hess & Clark, Inc."
140-947	03/02/2018	"Lincomycin, Narasin, Nicarbazin"	Elanco US Inc.
140-958	02/13/2012	Phenylbutazone	"Luitpold Pharmaceuticals, Inc."
141-017	04/30/2001	Sarafloxacin Hydrochloride	Abbott Laboratories
141-018	04/30/2001	Sarafloxacin Hydrochloride	Abbott Laboratories
141-040	09/29/2006	Estradiol Benzoate	"PR Pharmaceuticals, Inc."
141-041	09/29/2006	Estradiol Benzoate	"PR Pharmaceuticals, Inc."
141-058	03/10/2014	"Bacitracin methylenedisalicylate, Roxarsone, Semduramicin Sodium"	Phibro Animal Health Corp.
141-066	03/10/2014	"Roxarsone, Semduramicin Sodium"	Phibro Animal Health Corp.
141-075	04/20/2015	Fomepizole	"Paladin Labs (USA), Inc."
141-088	12/31/2015	"Bacitracin methylenedisalicylate, Nitarsone"	Zoetis Inc.
141-090	03/02/2018	"Diclazuril, Virginiamycin"	Huvepharma EOOD
141-100	03/10/2014	"Bacitracin methylenedisalicylate, Decoquinate, Roxarsone"	Zoetis Inc.
141-110	02/27/2017	"Monensin, Virginiamycin"	"Elanco US, Inc."
141-112	03/10/2014	"Bacitracin methylenedisalicylate, Narasin, Nicarbazin, Roxarsone"	Zoetis Inc.
141-113	03/10/2014	"Narasin, Nicarbazin, Roxarsone"	"Elanco Animal Health, A Division of Eli Lilly & Co."
141-121	03/10/2014	"Bacitracin methylenedisalicylate, Roxarsone, Salinomycin Sodium"	Zoetis Inc.
141-131	03/10/2014	"Bacitracin methylenedisalicylate, Roxarsone, Zoalene"	Zoetis Inc.
141-132	12/31/2015	"Bacitracin Zinc, Nitarsone"	Zoetis Inc.
141-135	03/10/2014	"Roxarsone, Salinomycin Sodium"	Zoetis Inc.
141-138	03/10/2014	"Bacitracin methylenedisalicylate, Monensin, Roxarsone"	Zoetis Inc.
141-139	03/10/2014	"Monensin, Roxarsone"	Zoetis Inc.
141-142	03/10/2014	"Amprolium, Bacitracin methylenedisalicylate, Roxarsone"	Zoetis Inc.
141-150	02/27/2017	"Lasalocid, Virginiamycin"	Zoetis Inc.
141-155	03/10/2014	"Bacitracin methylenedisalicylate, Robenidine Hydrochloride, Roxarsone"	Zoetis Inc.
141-157	03/10/2014	"Halofuginone Hydrobromide, Roxarsone"	Zoetis Inc.
141-162	08/03/2009	(S) - methoprene	Wellmark International
141-164	09/08/2016	"Monensin, Tylosin Phosphate"	"Elanco US, Inc."
141-170	09/08/2016	"Narasin, Tylosin Phosphate"	"Elanco US, Inc."
141-178	08/03/2009	Nitazoxanide	"IDEXX Pharmaceuticals, Inc."
141-190	03/10/2014	"Bacitracin methylenedisalicylate, Diclazuril, Roxarsone"	Huvepharma EOOD
141-198	09/08/2016	"Salinomycin Sodium, Tylosin Phosphate"	"Elanco US, Inc."
141-223	03/10/2014	"Diclazuril, Roxarsone"	Zoetis Inc.
141-226	03/10/2014	"Roxarsone, Semduramicin Sodium, Virginiamycin"	Phibro Animal Health Corp.
141-293	03/10/2014	"Lasalocid, Roxarsone"	Zoetis Inc.
200-028	12/21/2015	Pyrantel Pamoate	"Pegasus Laboratories, Inc."
200-080	03/10/2014	"Bambermycins, Roxarsone, Salinomycin Sodium"	Huvepharma EOOD
200-081	03/10/2014	"Bacitracin methylenedisalicylate, Roxarsone, Salinomycin Sodium"	Huvepharma EOOD
200-086	03/10/2014	"Bacitracin Zinc, Roxarsone, Salinomycin Sodium"	Huvepharma EOOD
200-090	03/10/2014	"Lincomycin, Roxarsone, Salinomycin Sodium"	Huvepharma EOOD
200-091	07/01/2016	"Chlortetracycline Calcium Complex, Roxarsone, Salinomycin Sodium"	Huvepharma EOOD
200-092	02/27/2017	"Salinomycin Sodium, Virginiamycin"	Huvepharma EOOD
200-093	02/27/2017	"Lincomycin, Salinomycin Sodium"	Huvepharma EOOD
200-094	03/10/2014	"Roxarsone, Salinomycin Sodium, Virginiamycin"	Huvepharma EOOD
200-097	03/10/2014	"Roxarsone, Salinomycin Sodium"	Huvepharma EOOD
200-140	03/31/2014	"Chlortetracycline Hydrochloride, Penicillin G Procaine, Sulfathiazole"	Zoetis Inc.
200-143	03/10/2014	"Bacitracin Zinc, Roxarsone, Salinomycin Sodium"	Huvepharma EOOD
200-167	03/31/2014	"Chlortetracycline Calcium Complex, Penicillin G Procaine, Sulfathiazole"	Zoetis Inc.
200-170	03/10/2014	"Lincomycin, Nicarbazin, Roxarsone"	Phibro Animal Health Corp.
200-171	03/02/2018	"Lincomycin, Nicarbazin"	Planalquimica Industrial Ltda.
200-172	03/10/2014	"Nicarbazin, Roxarsone"	Phibro Animal Health Corp.
200-203	03/10/2014	"Bacitracin Zinc, Carbarsone"	Zoetis Inc.
200-206	03/10/2014	"Bacitracin Zinc, Decoquinate, Roxarsone"	Zoetis Inc.
200-207	03/10/2014	"Bacitracin Zinc, Clopidol, Roxarsone"	Zoetis Inc.
200-208	03/10/2014	"Bacitracin Zinc, Lasalocid, Roxarsone"	Zoetis Inc.
200-209	03/10/2014	"Bacitracin Zinc, Roxarsone, Salinomycin Sodium"	Zoetis Inc.
200-211	03/10/2014	"Bacitracin Zinc, Monensin, Roxarsone"	Zoetis Inc.
200-214	03/10/2014	"Amprolium, Bacitracin Zinc, Ethopabate, Roxarsone"	Zoetis Inc.
200-215	03/10/2014	"Bacitracin Zinc, Roxarsone, Salinomycin Sodium"	Zoetis Inc.
200-217	03/10/2014	"Amprolium, Bacitracin Zinc, Ethopabate, Roxarsone"	Zoetis Inc.
200-232	09/06/2005	Oxytetracycline	"Pliva, d. d."
200-259	03/10/2014	"Chlortetracycline, Roxarsone, Salinomycin Sodium"	Zoetis Inc.
200-260	03/10/2014	"Chlortetracycline, Roxarsone, Salinomycin Sodium"	Zoetis Inc.
200-279	08/03/2009	Ketamine Hydrochloride	Abbott Laboratories
200-305	12/26/2014	Oxytetracycline Hydrochloride	"Vetoquinol N.-A., Inc."
200-307	06/20/2016	Penicillin G Potassium	"Vetoquinol N.-A., Inc."
200-355	03/10/2014	"Chlortetracycline, Roxarsone, Salinomycin Sodium"	Pennfield Oil Co.
200-383	12/21/2015	Clindamycin Hydrochloride	Teva Canada Ltd.
200-421	01/16/2018	Ceftiofur Sodium	"Hospira, Inc."
200-435	10/15/2012	Doxapram Hydrochloride	"Modern Veterinary Therapeutics, LLC"
200-446	10/15/2012	Butorphanol Tartrate	"Modern Veterinary Therapeutics, LLC"
200-459	10/15/2012	Triamcinolone Acetonide	"Modern Veterinary Therapeutics, LLC"
200-524	03/02/2018	Mupirocin	"Putney, Inc."
200-569	03/02/2018	"Salinomycin Sodium, Tylosin Phosphate"	Huvepharma EOOD
200-570	03/02/2018	"Salinomycin Sodium, Tylosin Phosphate"	Huvepharma EOOD
200-580	03/02/2018	"Salinomycin Sodium, Tylosin Phosphate"	Huvepharma EOOD
